,liquid_range,molar_volume,critical_temperature,boiling_point,melting_point,velocity_of_sound,log10_thermal_conductivity,X,mineral_hardness,density_of_solid,rigidity_modulus,bulk_modulus,youngs_modulus,log10_electrical_resistivity,log10_coefficient_of_linear_thermal_expansion,poissons_ratio,brinell_hardness,superconduction_temperature,log10_vickers_hardness,reflectivity
H,6.27,11.42,33.0,20.28,14.01,1270.0,-0.7435227937583233,2.2,,,,,,,,,,,,
He,3.27,21.0,5.19,4.22,0.95,970.0,-0.8201610719768133,,,,,,,,,,,,,
Li,1161.31,13.02,3223.0,1615.0,453.69,6000.0,1.9294189257142929,0.98,0.6,535.0,4.2,11.0,4.9,-7.022276394711152,-4.337242168318426,,,,,
Be,1182.0,4.85,,2742.0,1560.0,13000.0,2.278753600952829,1.57,5.5,1848.0,132.0,130.0,287.0,-7.42021640338319,-4.94692155651658,0.032,600.0,0.026,3.2227164711475833,
B,1851.0,4.39,,4200.0,2349.0,16200.0,1.4313637641589874,2.04,9.3,2460.0,,320.0,,12.0,-5.221848749616356,,,,4.690196080028514,
C,500.0,5.29,,4300.0,3800.0,18350.0,2.146128035678238,2.55,0.5,2267.0,,33.0,,-5.0,-5.1487416512809245,,,,,27.0
N,14.31,13.54,126.2,77.36,63.05,333.6,-1.5878755938266829,3.04,,,,,,,,,,,,
O,35.4,17.36,154.6,90.2,54.8,317.5,-1.5754450233932868,3.44,,,,,,,,,,,,
F,31.5,11.2,144.0,85.03,53.53,,-1.5575202309355514,3.98,,,,,,,,,,,,
Ne,2.51,13.23,44.4,27.07,24.56,936.0,-1.3089185078770316,,,,,,,,,,,,,
Na,785.13,23.78,2573.0,1156.0,370.87,3200.0,2.146128035678238,0.93,0.5,968.0,3.3,6.3,10.0,-7.309803919971486,-4.1487416512809245,,0.69,,,
Mg,440.0,14.0,,1363.0,923.0,4602.0,2.204119982655925,1.31,2.5,1738.0,17.0,45.0,45.0,-7.356547323513813,-5.086186147616283,0.29,260.0,,,74.0
Al,1858.53,10.0,,2792.0,933.47,5100.0,2.3710678622717363,1.61,2.75,2700.0,26.0,76.0,70.0,-7.568636235841013,-4.636388020107856,0.35,245.0,1.175,2.2227164711475833,71.0
Si,1486.0,12.06,,3173.0,1687.0,2200.0,2.1760912590556813,1.9,6.5,2330.0,,100.0,47.0,-3.0,-5.585026652029182,,,,,28.0
P,232.7,17.02,994.0,550.0,317.3,,-0.6270879970298935,2.19,,1823.0,,11.0,,-7.0,,,,,,
S,329.51,15.53,1314.0,717.87,388.36,,-0.6882461389442457,2.58,2.0,1960.0,,7.7,,23.0,,,,,,
Cl,67.51,17.39,417.0,239.11,171.6,206.0,-2.050609993355087,3.16,,,,1.1,,10.0,,,,,,
Ar,3.5,22.56,150.8,87.3,83.8,319.0,-1.751536282448968,,,,,,,,,,,,,
K,695.47,45.94,2223.0,1032.0,336.53,2000.0,2.0,0.82,0.4,856.0,1.3,3.1,,-7.1249387366083,,,0.363,,,
Ca,642.0,26.2,,1757.0,1115.0,3810.0,2.3010299956639813,1.0,1.75,1550.0,7.4,17.0,20.0,-7.468521082957745,-4.651695136951839,0.31,167.0,,,
Sc,1289.0,15.0,,3103.0,1814.0,,1.2041199826559248,1.36,,2985.0,29.0,57.0,74.0,-6.259637310505756,-4.991399828238082,0.28,750.0,0.05,,
Ti,1619.0,10.64,,3560.0,1941.0,4140.0,1.3424226808222062,1.54,6.0,4507.0,44.0,110.0,116.0,-6.3979400086720375,-5.0655015487564325,0.32,716.0,0.4,2.9867717342662448,
V,1497.0,8.32,,3680.0,2183.0,4560.0,1.4913616938342726,1.63,7.0,6110.0,47.0,160.0,128.0,-6.698970004336019,-5.075720713938118,0.37,628.0,5.4,2.797959643737196,61.0
Cr,764.0,7.23,,2944.0,2180.0,5940.0,1.9731278535996986,1.66,8.5,7140.0,115.0,160.0,279.0,-6.896196279044043,-5.309803919971486,0.21,1120.0,,3.0253058652647704,
Mn,815.0,7.35,,2334.0,1519.0,5150.0,0.8920946026904804,1.55,6.0,7470.0,,120.0,198.0,-5.841637507904751,-4.663540266151471,,196.0,,,
Fe,1323.0,7.09,,3134.0,1811.0,4910.0,1.9030899869919435,1.83,4.0,7874.0,82.0,170.0,211.0,-7.0,-4.928117992693875,0.29,490.0,,2.783903579272735,65.0
Co,1432.0,6.67,,3200.0,1768.0,4720.0,2.0,1.88,5.0,8900.0,75.0,180.0,209.0,-7.221848749616356,-4.886056647693163,0.31,700.0,,3.018284308426531,67.0
Ni,1458.0,6.59,,3186.0,1728.0,4970.0,1.9590413923210936,1.91,4.0,8908.0,76.0,180.0,200.0,-7.142667503568732,-4.872895201635193,0.31,700.0,,2.8048206787211623,72.0
Cu,1842.23,7.11,,3200.0,1357.77,3570.0,2.6020599913279625,1.9,3.0,8920.0,48.0,140.0,130.0,-7.764471553092451,-4.782516055786093,0.34,874.0,,2.56702636615906,90.0
Zn,487.32,9.16,,1180.0,692.68,3700.0,2.0791812460476247,1.65,2.5,7140.0,43.0,70.0,108.0,-7.221848749616356,-4.519993057042849,0.25,412.0,0.85,,80.0
Ga,2174.09,11.8,,2477.0,302.91,2740.0,1.462397997898956,1.81,1.5,5904.0,,,,-6.853871964321762,-3.9208187539523753,,60.0,1.083,,
Ge,1881.6,13.63,,3093.0,1211.4,5400.0,1.7781512503836436,2.01,6.0,5323.0,,,,-3.3010299956639813,-5.221848749616356,,,,,
As,203.0,12.95,1700.0,887.0,1090.0,,1.6989700043360187,2.18,3.5,5727.0,,22.0,8.0,-6.481486060122113,,,1440.0,,,
Se,464.0,16.42,1766.0,958.0,494.0,3350.0,-0.2839966563652008,2.55,2.0,4819.0,3.7,8.3,10.0,-8.0,,0.33,736.0,,,
Br,66.2,19.78,586.0,332.0,265.8,,-0.9208187539523752,2.96,,,,1.9,,18.0,,,,,,
Kr,4.14,27.99,209.4,119.93,115.79,1120.0,-2.0254883072626715,3.0,,,,,,,,,,,,
Rb,648.54,55.76,2093.0,961.0,312.46,1300.0,1.7634279935629373,0.82,0.3,1532.0,,2.5,2.4,-6.876148359032914,,,0.216,,,
Sr,605.0,33.94,,1655.0,1050.0,,1.5440680443502757,0.95,1.5,2630.0,6.1,,,-6.8696662315049934,-4.647817481888637,0.28,,,,
Y,1810.0,19.88,,3609.0,1799.0,3300.0,1.2304489213782739,1.22,,4472.0,26.0,41.0,64.0,-6.221848749616356,-4.97469413473523,0.24,589.0,1.3,,
Zr,2554.0,14.02,,4682.0,2128.0,3800.0,1.3617278360175928,1.33,5.0,6511.0,33.0,,68.0,-6.363512103646634,-5.2441251443275085,0.34,650.0,0.61,2.9556877503135057,
Nb,2267.0,10.83,,5017.0,2750.0,3480.0,1.7323937598229686,1.6,6.0,8570.0,38.0,170.0,105.0,-6.818156412055227,-5.136677139879544,0.4,736.0,9.25,3.12057393120585,
Mo,2016.0,9.38,,4912.0,2896.0,6190.0,2.143014800254095,2.16,5.5,10280.0,20.0,230.0,329.0,-7.259637310505756,-5.318758762624412,0.31,1500.0,0.915,3.184691430817599,58.0
Tc,2108.0,8.63,,4538.0,2430.0,,1.7075701760979363,1.9,,11500.0,,,,-6.657577319177793,,,,7.8,,
Ru,1816.0,8.17,,4423.0,2607.0,5970.0,2.0791812460476247,2.2,6.5,12370.0,173.0,220.0,447.0,-7.1487416512809245,-5.1938200260161125,0.3,2160.0,0.49,,
Rh,1731.0,8.28,,3968.0,2237.0,4700.0,2.1760912590556813,2.28,6.0,12450.0,150.0,380.0,275.0,-7.366531544420414,-5.086186147616283,0.26,1100.0,,3.095518042323151,84.0
Pd,1407.95,8.56,,3236.0,1828.05,3070.0,1.8573324964312685,2.2,4.75,12023.0,44.0,180.0,121.0,-6.966576244513051,-4.928117992693875,0.39,37.3,,2.663700925389648,72.0
Ag,1200.07,10.27,,2435.0,1234.93,2600.0,2.6334684555795866,1.93,2.5,10490.0,30.0,100.0,83.0,-7.787812395596042,-4.723538195826756,0.37,24.5,,2.399673721481038,97.0
Cd,445.78,13.0,,1040.0,594.22,2310.0,1.9867717342662448,1.69,2.0,8650.0,19.0,42.0,50.0,-7.154901959985743,-4.511449283499555,0.3,203.0,0.517,,67.0
In,1915.25,15.76,,2345.0,429.75,1215.0,1.9138138523837167,1.78,1.2,7310.0,,,11.0,-7.096910013008056,-4.493494967595128,,8.83,3.41,,
Sn,2369.92,16.29,,2875.0,505.08,2500.0,1.8260748027008264,1.96,1.5,7310.0,18.0,58.0,50.0,-6.939302159646388,-4.657577319177793,0.36,51.0,3.72,,54.0
