,combination,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Label,n_element
0,AgFe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,not_HEA,2
1,AgPd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,HEA,2
2,CoCu,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,not_HEA,2
3,CoMn,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,not_HEA,2
4,CoNi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,HEA,2
5,CrFe,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,HEA,2
6,CrMn,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HEA,2
7,CrNb,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,not_HEA,2
8,CrV,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HEA,2
9,CuFe,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,not_HEA,2
10,CuNi,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,HEA,2
11,FeMn,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,HEA,2
12,FeNb,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,not_HEA,2
13,FePd,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,HEA,2
14,MnNb,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,not_HEA,2
15,MoNb,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,HEA,2
16,MoPd,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,not_HEA,2
17,MoRu,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,not_HEA,2
18,MoTi,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,HEA,2
19,NbV,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,HEA,2
20,NbZr,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,HEA,2
21,NiRu,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,not_HEA,2
22,PdRh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,HEA,2
23,RhV,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,not_HEA,2
24,AgCu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,not_HEA,2
25,AgNi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,not_HEA,2
26,AgTi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,not_HEA,2
27,CoCr,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,not_HEA,2
28,CoMo,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,not_HEA,2
29,CoPd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,HEA,2
30,CoRh,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,HEA,2
31,CrCu,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,not_HEA,2
32,CrMo,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,HEA,2
33,CrNi,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,not_HEA,2
34,CrRh,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,not_HEA,2
35,CrTi,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,not_HEA,2
36,CuPd,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,HEA,2
37,CuRh,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,HEA,2
38,CuV,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,HEA,2
39,FeMo,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,HEA,2
40,FeNi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,HEA,2
41,MnNi,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,not_HEA,2
42,MnV,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,not_HEA,2
43,MoNi,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,not_HEA,2
44,MoRh,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,not_HEA,2
45,MoV,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,HEA,2
46,MoZr,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,not_HEA,2
47,NbTi,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,HEA,2
48,NiPd,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,HEA,2
49,NiRh,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,HEA,2
50,NiV,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,not_HEA,2
51,PdRu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,not_HEA,2
52,RhRu,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,HEA,2
53,TiV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HEA,2
54,TiZr,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,HEA,2
55,VZr,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,not_HEA,2
56,AgCoCu,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,not_HEA,3
57,AgCuFe,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,not_HEA,3
58,AgCuMn,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,not_HEA,3
59,AgCuPd,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,HEA,3
60,AgCuRh,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,not_HEA,3
61,AgCuTi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,not_HEA,3
