name,polytyp,Tc,ref,author,link,comment,polytyp2,C_R,C_T,vol_per_atom,Z,f4,d5,L4f,S4f,J4f,(g-1)J4f,(2-g)J4f
Ce2Co17,Th2Zn17,1100.0,"JOURNAL OF APPLIED PHYSICS 85, 4666 (1999)","Bao-gen Shen, et al.",,,Th2Zn17,0.008054200156334216,0.06846070132884083,13.069349637648719,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
Ce2Co7,Ce2Ni7,123.0,"Reports on Progress in Physics, 40, 1179 (1977)",K H J Buschow,,,Ce2Ni7,0.015190784540301592,0.05316774589105557,14.628752164357293,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
Ce5Co19,,293.0,"A Thesis, In the Department Of Mechanical, Industrial & Aerospace Engineering, Concordia University 
Montreal, Quebec, Canada ,May 2018.",Tian Wan,https://spectrum.library.concordia.ca/984280/1/Wang_PhD_F2018.pdf,,Ce5Co19,0.014486356602584152,0.05504815508981977,14.381347846715975,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
CeCo2,,0.0,"A Thesis, In the Department Of Mechanical, Industrial & Aerospace Engineering, Concordia University 
Montreal, Quebec, Canada ,May 2018.",Tian Wan,https://spectrum.library.concordia.ca/984280/1/Wang_PhD_F2018.pdf,,MgCu2,0.021785571929508012,0.043571143859016025,15.300646428374996,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
CeCo3,,78.0,"A Thesis, In the Department Of Mechanical, Industrial & Aerospace Engineering, Concordia University 
Montreal, Quebec, Canada ,May 2018.",Tian Wan,https://spectrum.library.concordia.ca/984280/1/Wang_PhD_F2018.pdf,,PuNi3,0.017122851636423325,0.051368554909269976,14.600371790187443,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
CeCo5,,653.0,"PHYSICAL REVIEW APPLIED 11, 014052 (2019)",Tej N. Lamichhane et al. ,,,CaCu5,0.011833631401472379,0.059168157007361895,14.084152278558335,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
Dy2Co17,Th2Ni17,1183.0,"Journal of Alloys and Compounds, 264, 19 (1998).","Shao-ying Zhang, et al.,",https://doi.org/10.1016/S0925-8388(97)00230-2,,Th2Ni17,0.008158313302041689,0.06934566306735436,12.902563801808618,66.0,10.0,0.0,5.0,2.5,7.5,2.5,5.0
Dy3Co,,44.0,"Applied Physics A 99, 853 (2010) ",Jun Shen et al.,,,Fe3C,0.029130910579017,0.009710303526339,25.74584814180938,66.0,10.0,0.0,5.0,2.5,7.5,2.5,5.0
DyCo2,MgCu2,136.0,"Journal of Alloys and Compounds, 777, 152 (2019)","C.L.Wang, et al.",,,MgCu2,0.021469232686784686,0.04293846537356937,15.526094397333331,66.0,10.0,0.0,5.0,2.5,7.5,2.5,5.0
DyCo3,PuNi3,450.0,"journal of physical society of japan 58, 3431 (1989)",Hiroshi Yoshie and Yoji Nakamura,,,PuNi3,0.017076976042642324,0.05123092812792697,14.639594233530204,66.0,10.0,0.0,5.0,2.5,7.5,2.5,5.0
