Z1,Z2,Z3,Z4,dos1,dos2,dos3,dos4,dos5,dos6,dos7,dos8,dos9,dos10,dos11,dos12,dos13,dos14,dos15,dos16,dos17,dos18,dos19,dos20,dos21,dos22,dos23,dos24,dos25,dos26,dos27,dos28,dos29,dos30,dos31,dos32,dos33,dos34,dos35,dos36,dos37,dos38,dos39,dos40,dos41,dos42,dos43,dos44,dos45,dos46,dos47,dos48,dos49,dos50,dos51,dos52,dos53,dos54,dos55,dos56,dos57,dos58,dos59,dos60,dos61,dos62,dos63,dos64,dos65,dos66,dos67,dos68,dos69,dos70,dos71,dos72,dos73,dos74,dos75,dos76,dos77,dos78,dos79,dos80,dos81,dos82,dos83,dos84,dos85,dos86,dos87,dos88,dos89,dos90,dos91,dos92,dos93,dos94,dos95,dos96,dos97,dos98,dos99,dos100,dos101,dos102,dos103,dos104,dos105,dos106,dos107,dos108,dos109,dos110,dos111,dos112,dos113,dos114,dos115,dos116,dos117,dos118,dos119,dos120,dos121,dos122,dos123,dos124,dos125,dos126,dos127,dos128,dos129,dos130,dos131,dos132,dos133,dos134,dos135,dos136,dos137,dos138,dos139,dos140,dos141,dos142,dos143,dos144,dos145,dos146,dos147,dos148,dos149,dos150,dos151,dos152,dos153,dos154,dos155,dos156,dos157,dos158,dos159,dos160,dos161,dos162,dos163,dos164,dos165,dos166,dos167,dos168,dos169,dos170,dos171,dos172,dos173,dos174,dos175,dos176,dos177,dos178,dos179,dos180,dos181,dos182,dos183,dos184,dos185,dos186,dos187,dos188,dos189,dos190,dos191,dos192,dos193,dos194,dos195,dos196,dos197,dos198,dos199,dos200,elm1,elm2,elm3,elm4,elements
13,21,24,29,0.00128,0.00154,0.00182,0.00212,0.00244,0.0028399999999999,0.0033399999999999,0.00402,0.00498,0.0065,0.0091,0.01432,0.0283,1.7842,21.69918,28.951940000000004,32.2382,15.10851,0.0576799999999999,0.02106,0.01154,0.00734,0.0050799999999999,0.0037,0.00282,0.0022,0.00178,0.00148,0.00126,0.0011,0.00098,0.0009199999999999,0.00086,0.00084,0.00082,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.00078,0.0007599999999999,0.00074,0.00072,0.0007,0.00066,0.00062,0.00058,0.00054,0.0005,0.0004599999999999,0.00042,0.00036,0.00032,0.00028,0.0002399999999999,0.0002,0.00018,0.00014,0.0001199999999999,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001199999999999,0.00014,0.00016,0.00018,0.00022,0.00026,0.0003,0.0003399999999999,0.00036,0.0004,0.00044,0.0004799999999999,0.00052,0.00056,0.00058,0.00062,0.00064,0.00066,0.0006799999999999,0.0007,0.00072,0.00074,0.0007599999999999,0.0007599999999999,0.00078,0.0008,0.0008,0.00082,0.00084,0.00086,0.0009,0.00094,0.00098,0.00104,0.00112,0.00122,0.00138,0.00166,0.00234,0.1675,0.51022,0.7109,0.87366,1.0164799999999998,1.1488200000000002,1.27262,1.39222,1.5082,1.6214,1.73422,1.84638,1.95856,2.07252,2.18888,2.30864,2.43428,2.56978,2.7221,2.90416,3.13574,3.43994,3.84411,4.39892,5.2248,6.6566,9.76028,16.77891,24.04675,33.642,35.97104,31.23674,21.97528,13.75915,12.23089,12.38601,13.05997,14.25381,15.91391,17.291130000000003,17.67846,17.21539,16.36319,15.481420000000002,14.77709,14.32868,14.10086,13.9034,13.43213,12.64077,11.79567,11.07306,10.50617,10.0808,9.776,9.5739,9.46097,9.42688,9.46182,9.5517,9.66952,9.75966,9.71292,9.36654,8.68528,7.957439999999999,7.41852,7.069839999999999,6.8540600000000005,6.72532,6.6516,6.61056,6.587160000000001,6.572039999999999,6.5602,6.5496,6.53974,6.5309,6.52352,6.51814,6.515219999999999,6.5152,6.518619999999999,6.52618,6.53866,6.5569,6.581760000000001,6.61384,6.65302,6.698339999999999,6.74822,6.801019999999999,6.855360000000001,Al,Sc,Cr,Cu,",Al,Sc,Cr,Cu,"
14,21,24,29,0.00146,0.00178,0.0021,0.00246,0.00288,0.00342,0.0041,0.0051,0.00662,0.0092,0.01424,0.02688,0.11802,21.82523,33.64705,36.93611,7.27608,0.04382,0.01886,0.0108,0.00702,0.0049,0.00358,0.0027,0.0021,0.00168,0.0013599999999999,0.00114,0.00098,0.00088,0.00082,0.00078,0.0007599999999999,0.00074,0.0007599999999999,0.0007599999999999,0.00078,0.00078,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.00078,0.0007599999999999,0.00074,0.0007,0.0006799999999999,0.00064,0.0006,0.00056,0.0005,0.0004599999999999,0.00042,0.00036,0.00032,0.00028,0.00022,0.00018,0.00016,0.0001199999999999,0.0001,8e-05,8e-05,6e-05,8e-05,8e-05,0.0001,0.0001199999999999,0.00016,0.0002,0.0002399999999999,0.00028,0.00032,0.00036,0.0004,0.00044,0.0005,0.00054,0.00058,0.00062,0.00066,0.0006799999999999,0.00072,0.0007599999999999,0.00078,0.00082,0.00084,0.00086,0.0009,0.00094,0.00098,0.0010199999999999,0.0011,0.00118,0.00132,0.0016,0.0024,0.22318,0.5693199999999999,0.77408,0.9395,1.08406,1.21504,1.33624,1.44974,1.5567,1.6577,1.75276,1.8414,1.92252,1.99408,2.0528,2.0935200000000003,2.1082,2.08488,2.00622,1.84804,1.57426,1.10004,0.17124,0.03574,1.12092,1.9411,2.54192,3.0745400000000003,3.57886,4.0773,4.5929,5.1627,5.86148,6.86446,8.655650000000001,12.65051,20.04459,29.25987,37.39799,35.08313,28.668280000000003,17.32655,13.22308,12.79803,13.33884,14.3989,15.89725,17.2622,17.724429999999998,17.350369999999998,16.67482,16.1059,15.843510000000002,15.89614,15.93903,15.27335,13.95965,12.80715,12.01356,11.4857,11.14059,10.92795,10.8178,10.791250000000002,10.83469,10.93457,11.07034,11.20024,11.22916,10.94876,10.1125,8.98864,8.11972,7.57914,7.259060000000001,7.06862,6.9497800000000005,6.869280000000001,6.8094,6.76116,6.7205,6.685919999999999,6.65732,6.63514,6.6199,6.612080000000001,6.6120600000000005,6.6200600000000005,6.63622,6.6604600000000005,6.692419999999999,6.731260000000001,6.77568,6.8241,6.875039999999999,6.9272800000000005,6.979939999999999,7.0324800000000005,7.08452,7.135839999999999,7.186260000000001,Si,Sc,Cr,Cu,",Si,Sc,Cr,Cu,"
14,24,29,39,0.0003799999999999,0.0005,0.00058,0.00066,0.0007,0.0007599999999999,0.0008,0.00082,0.00084,0.00086,0.00086,0.00086,0.00084,0.0008,0.0007599999999999,0.0007,0.00064,0.00056,0.0005,0.00042,0.00036,0.0003,0.00028,0.00026,0.0003,0.0003799999999999,0.0005,0.00066,0.00088,0.00118,0.00156,0.00206,0.0027,0.00364,0.00504,0.00748,0.0128,0.04136,7.22946,12.27392,14.16636,15.44624,16.507179999999998,16.96848,14.913620000000002,2.33488,0.022,0.0111799999999999,0.00722,0.00522,0.004,0.00322,0.00264,0.0022199999999999,0.00188,0.0016,0.00138,0.00118,0.001,0.00086,0.00072,0.00062,0.00052,0.00044,0.0003799999999999,0.0003399999999999,0.0003,0.0003,0.0003,0.0003,0.00032,0.00036,0.0004,0.00044,0.0004799999999999,0.00054,0.00058,0.00062,0.0006799999999999,0.00072,0.0007599999999999,0.0008,0.00084,0.00086,0.0009,0.0009199999999999,0.00094,0.0009599999999999,0.00098,0.00098,0.001,0.001,0.0010199999999999,0.00104,0.00106,0.00108,0.00112,0.00118,0.00126,0.00138,0.00162,0.00224,0.13574,0.5635399999999999,0.8174399999999999,1.01976,1.19766,1.3607200000000002,1.51352,1.65842,1.79662,1.92834,2.05282,2.16804,2.27006,2.35186,2.40168,2.40084,2.3226,2.13344,1.79472,1.23782,0.22444,0.0083,0.01034,0.75308,1.80568,2.51286,3.1502,3.76846,4.39586,5.06588,5.842219999999999,6.8738,8.56477,12.16023,20.14061,31.18795,43.2878,40.31494,28.039900000000003,15.970010000000002,13.72936,13.71212,14.52072,16.055120000000002,18.01096,19.2188,19.1689,18.52694,17.93892,17.672639999999998,17.50106,16.4024,14.2051,12.39928,11.24462,10.48026,9.94126,9.543,9.24024,9.00694,8.8272,8.690760000000001,8.59066,8.521939999999999,8.4807,8.46348,8.4669,8.4872,8.52002,8.5599,8.59942,8.628060000000001,8.6308,8.5877,8.47746,8.29032,8.04716,7.795780000000001,7.5768,7.40464,7.276839999999999,7.18624,7.12628,7.09232,7.081339999999999,7.091480000000001,7.12126,7.168639999999999,7.2306,7.30312,7.38212,7.464180000000001,7.547039999999999,7.62938,7.710560000000001,7.7904,7.868939999999999,7.946339999999999,Si,Cr,Cu,Y,",Si,Cr,Cu,Y,"
14,24,29,40,0.00084,0.0010199999999999,0.0012,0.0013599999999999,0.0015199999999999,0.00166,0.00182,0.002,0.0022,0.00246,0.0028,0.00328,0.00398,0.0051,0.0071,0.0113,0.02572,4.7676,12.16108,14.60758,16.11308,17.32224,17.834979999999998,15.357789999999998,1.68872,0.02064,0.01026,0.0064,0.0044399999999999,0.0033,0.0026,0.00212,0.0018,0.00158,0.0014199999999999,0.00132,0.00124,0.00118,0.00112,0.0011,0.00106,0.0010199999999999,0.001,0.00098,0.00094,0.0009199999999999,0.00088,0.00084,0.0008,0.0007599999999999,0.00072,0.00066,0.00062,0.00056,0.00052,0.0004799999999999,0.00042,0.0003799999999999,0.0003399999999999,0.0003,0.00026,0.00022,0.0002,0.00018,0.00018,0.00016,0.00018,0.00018,0.0002,0.00022,0.0002399999999999,0.00026,0.0003,0.0003399999999999,0.0003799999999999,0.00042,0.0004599999999999,0.0005,0.00054,0.00058,0.00062,0.00066,0.0006799999999999,0.00072,0.0007599999999999,0.00078,0.00082,0.00084,0.00088,0.0009199999999999,0.00094,0.00098,0.00104,0.0011,0.00118,0.0013,0.0015199999999999,0.0020399999999999,0.1146599999999999,0.47518,0.68728,0.85506,1.0017200000000002,1.13556,1.26058,1.379,1.49206,1.6004,1.7041,1.80274,1.89526,1.97966,2.05264,2.10886,2.14012,2.13438,2.07506,1.9408,1.7037,1.31298,0.50156,0.0104,0.49218,1.64054,2.36268,2.99136,3.588,4.17874,4.7889800000000005,5.461,6.27842,7.41728,9.25453,12.53918,17.390060000000002,22.77619,32.16622,35.35152,31.37038,24.85434,17.44064,14.76174,14.2317,14.64478,15.60196,16.5922,17.00618,16.71704,16.0386,15.33808,14.86478,14.7516,14.99608,15.273320000000002,14.732820000000002,13.2216,11.80031,10.80131,10.10668,9.6073,9.2383,8.96106,8.7513,8.5927,8.4735,8.38428,8.3165,8.26102,8.20674,8.13904,8.0384,7.8822,7.65632,7.378360000000001,7.09978,6.86528,6.686939999999999,6.5566,6.46196,6.39302,6.34288,6.3072,6.28336,6.26984,6.26584,6.271059999999999,6.28556,6.30952,6.34306,6.38606,6.43778,6.49676,6.561039999999999,6.628480000000001,6.69724,6.765960000000001,6.83384,6.90044,6.96558,7.0293,Si,Cr,Cu,Zr,",Si,Cr,Cu,Zr,"
14,24,29,41,20.48147,20.75799,11.61,0.04939,0.01738,0.00998,0.00674,0.00496,0.00386,0.00312,0.00258,0.00218,0.00186,0.0016,0.00138,0.00118,0.0010199999999999,0.00088,0.0007599999999999,0.00064,0.00054,0.0004599999999999,0.0004,0.0003399999999999,0.0003,0.00026,0.0002399999999999,0.0002399999999999,0.0002399999999999,0.0002399999999999,0.00026,0.00028,0.0003,0.00032,0.00036,0.0003799999999999,0.0004,0.00042,0.00044,0.0004599999999999,0.0004599999999999,0.0004799999999999,0.0004799999999999,0.0004799999999999,0.0004799999999999,0.0004799999999999,0.0004599999999999,0.0004599999999999,0.00044,0.00042,0.0004,0.0004,0.0003799999999999,0.0003399999999999,0.00032,0.0003,0.00028,0.00028,0.00026,0.0002399999999999,0.00022,0.00022,0.00022,0.0002,0.0002,0.00022,0.00022,0.0002399999999999,0.0002399999999999,0.00026,0.00028,0.0003,0.0003399999999999,0.00036,0.0003799999999999,0.00042,0.00044,0.0004799999999999,0.0005,0.00054,0.00056,0.0006,0.00064,0.00066,0.0007,0.00074,0.00078,0.00082,0.00086,0.0009199999999999,0.00098,0.00106,0.00118,0.0013599999999999,0.00178,0.0577,0.39268,0.5981,0.75462,0.8894200000000001,1.01144,1.1248,1.23182,1.33388,1.43174,1.5258200000000002,1.6161,1.7022400000000002,1.7833599999999998,1.85798,1.92366,1.97654,2.0108200000000003,2.018,1.98622,1.89956,1.7366,1.46204,0.96922,0.06998,0.6054299999999999,1.7243,2.42952,3.04919,3.63881,4.22391,4.8312,5.50376,6.317769999999999,7.402900000000001,8.938880000000001,11.08528,13.8343,16.85515,20.99575,28.703990000000005,31.84488,28.87195,25.18178,20.693690000000004,17.110619999999997,15.71321,15.4474,15.64244,15.86908,15.81659,15.3881,14.71665,14.02762,13.50998,13.289560000000002,13.43906,13.96515,14.6929,14.94552,13.971140000000002,12.5594,11.47841,10.72277,10.17699,9.76373,9.43409,9.15238,8.88646,8.60163,8.25993,7.83606,7.35469,6.89189,6.50806,6.21619,6.00602,5.86338,5.77442,5.72566,5.70458,5.700880000000001,5.70716,5.7187,5.73278,5.74812,5.76432,5.78144,5.79994,5.82038,5.84341,5.86974,5.90002,5.93478,5.97432,6.01864,6.06726,6.11936,6.17384,6.22962,6.2858,6.34178,6.3972,6.451919999999999,6.50594,Si,Cr,Cu,Nb,",Si,Cr,Cu,Nb,"
14,24,29,49,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.00022,0.0002399999999999,0.00026,0.00028,0.0003,0.00032,0.0003399999999999,0.00032,0.00032,0.0003,0.00026,0.00022,0.00018,0.00014,0.0001,6e-05,4e-05,2e-05,2e-05,2e-05,2e-05,6e-05,8e-05,0.0001199999999999,0.00016,0.0002,0.00026,0.0003,0.0003399999999999,0.0003799999999999,0.00042,0.0004599999999999,0.0005,0.00054,0.00058,0.00062,0.00066,0.0007,0.00074,0.00078,0.00082,0.00086,0.0009,0.00094,0.00098,0.00104,0.0011,0.00116,0.00124,0.00134,0.00144,0.00158,0.0017399999999999,0.0019399999999999,0.0022,0.00252,0.00294,0.0034799999999999,0.00422,0.00522,0.0067,0.00894,0.01262,0.01952,0.03562,0.10962,25.42354,45.7356,54.83668,37.05196,3.24173,0.04734,0.02384,0.015,0.0105799999999999,0.008,0.0063799999999999,0.00528,0.00452,0.00396,0.00356,0.00326,0.00306,0.00292,0.00288,0.00296,0.00346,0.1585599999999999,0.5585399999999999,0.78608,0.96362,1.11588,1.252,1.37656,1.49398,1.60244,1.70752,1.80738,1.90172,1.99424,2.08306,2.16738,2.24926,2.32838,2.4032,2.47382,2.54034,2.60174,2.65672,2.70446,2.74432,2.7757,2.7982,2.81156,2.8155,2.80986,2.79688,2.79172,2.87062,3.21084,3.74122,4.29068,4.84564,5.43428,6.12136,7.0639,8.63492,11.71568,17.724520000000002,27.27528,33.33632,32.34068,30.16368,18.71464,12.74177,11.58688,11.79446,12.52348,13.3358,13.906579999999998,14.200120000000002,14.425679999999998,14.80038,15.4535,16.35839,16.93294,15.05744,11.38279,9.16522,7.96468,7.28368,6.913060000000001,6.7237800000000005,6.62984,6.58064,6.5503800000000005,6.52686,6.5044,6.4805,6.454359999999999,6.42586,6.39526,6.3629,6.3293,6.2950800000000005,6.26088,6.2274,6.19542,6.16576,6.13946,6.11788,6.10308,6.09806,6.1073,6.136880000000001,6.19236,6.27134,6.36148,6.451980000000001,6.53874,6.6213,6.700260000000001,6.7762,6.8494600000000005,6.9200800000000005,6.98802,7.053380000000001,7.1162600000000005,7.176839999999999,7.23532,7.29178,7.346,7.397419999999999,Si,Cr,Cu,In,",Si,Cr,Cu,In,"
14,24,29,72,15.43612,18.50488,20.48406,21.48506,17.63638,0.48502,0.02222,0.01174,0.00762,0.00548,0.00418,0.00332,0.0027,0.00224,0.00188,0.00158,0.00132,0.0011,0.0009199999999999,0.0007599999999999,0.00062,0.0005,0.0004,0.00032,0.0002399999999999,0.0002,0.00018,0.00016,0.00016,0.00016,0.00018,0.00022,0.00026,0.0003,0.0003399999999999,0.0003799999999999,0.00042,0.00044,0.0004799999999999,0.00052,0.00054,0.00056,0.00058,0.0006,0.0006,0.00062,0.00062,0.0006,0.0006,0.00058,0.00056,0.00054,0.00052,0.0004799999999999,0.0004599999999999,0.00042,0.0003799999999999,0.0003399999999999,0.0003,0.00026,0.00022,0.00018,0.00016,0.0001199999999999,0.0001,8e-05,6e-05,4e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,4e-05,4e-05,6e-05,8e-05,0.0001,0.0001199999999999,0.00014,0.00016,0.00018,0.00022,0.0002399999999999,0.00028,0.00032,0.0003399999999999,0.0004,0.00044,0.0005,0.00056,0.00066,0.00078,0.00098,0.0014199999999999,0.0661799999999999,0.42787,0.6482600000000001,0.81688,0.96226,1.0939100000000002,1.21612,1.33146,1.4412,1.54618,1.6466599999999998,1.74246,1.83296,1.91684,1.99182,2.05428,2.0985400000000003,2.11584,2.09324,2.01208,1.84524,1.54426,0.89886,0.51584,1.47554,2.02532,2.50366,2.96416,3.4259800000000005,3.90102,4.40324,4.95608,5.60388,6.432449999999999,7.599909999999999,9.327850000000002,11.94929,15.82629,20.11306,28.51533,34.71229,31.6123,26.49074,19.30858,15.41535,14.37983,14.555,15.388370000000002,16.333709999999996,16.723309999999998,16.38118,15.631479999999998,14.86878,14.35732,14.21967,14.4402,14.74361,14.37771,12.98017,11.52202,10.47963,9.7595,9.24477,8.86486,8.57851,8.36047,8.19443,8.06931,7.977170000000001,7.91182,7.86802,7.840839999999999,7.82516,7.815360000000001,7.804839999999999,7.785239999999999,7.74559,7.672460000000001,7.55382,7.38932,7.19906,7.01376,6.854260000000001,6.726039999999999,6.62614,6.54962,6.49224,6.45092,6.4238,6.40996,6.4092,6.42174,6.44792,6.4876,6.53964,6.6017600000000005,6.67086,6.74382,6.81808,6.892,6.96462,7.03562,7.10496,Si,Cr,Cu,Hf,",Si,Cr,Cu,Hf,"
14,24,29,83,0.00068,0.00082,0.00092,0.001,0.00106,0.0010999999999999,0.00114,0.00118,0.00121,0.00124,0.00127,0.00129,0.0013,0.00131,0.00131,0.00129,0.0012699999999999,0.00125,0.00124,0.00125,0.00129,0.0013599999999999,0.00151,0.00174,0.00208,0.0025599999999999,0.00322,0.00415,0.00546,0.00737,0.01033,0.01532,0.02499,0.04893,0.18148,42.04411,87.75778,36.22339,0.15914,0.04763,0.02513,0.01596,0.01124,0.00847,0.00669,0.00548,0.0046,0.00394,0.00342,0.00301,0.00266,0.0023699999999999,0.0021,0.0018799999999999,0.00167,0.00148,0.00131,0.00115,0.00101,0.00088,0.00076,0.00067,0.00059,0.00053,0.00048,0.00046,0.0004399999999999,0.00045,0.00048,0.00052,0.00058,0.00065,0.00075,0.00086,0.00102,0.00127,0.00178,0.08853,0.45221,0.66705,0.83215,0.9742,1.10236,1.2211599999999998,1.33313,1.43981,1.54214,1.64057,1.73512,1.8252900000000003,1.9098,1.98628,2.05051,2.09533,2.10896,2.07331,1.96372,1.75381,1.4246,0.94807,0.16999,0.00395,0.00372,0.02556,0.74329,1.2255600000000002,1.5401,1.78485,1.98682,2.15765,2.30281,2.4243,2.5214,2.59061,2.62484,2.61202,2.53327,2.36051,2.05144,1.50139,0.8286100000000001,1.9634,3.3443000000000005,3.96486,4.353540000000001,4.63641,4.86819,5.08091,5.29895,5.547000000000001,5.85736,6.28185,6.918150000000001,7.976990000000001,9.96471,14.17289,23.1674,35.751310000000004,39.42002,38.81028,22.9742,15.97128,14.15477,13.57413,13.592390000000002,13.99621,14.13073,12.11753,9.71019,8.52138,7.954879999999999,7.75844,7.81223,8.03821,8.3858,8.81409,9.277,9.73049,10.15966,10.59179,11.07343,11.64028,12.25838,12.46527,11.01303,9.48508,8.74352,8.31366,8.01127,7.76897,7.558109999999999,7.36696,7.19257,7.03695,6.90542,6.806699999999999,6.75331,6.7569300000000005,6.8107,6.89079,6.977640000000001,7.06164,7.14092,7.21621,7.288120000000001,7.35704,7.423500000000001,7.48786,7.55,7.609630000000001,7.66661,7.72075,7.771420000000001,7.81733,7.85698,7.88906,7.912870000000001,7.9282,7.934900000000001,7.93338,Si,Cr,Cu,Bi,",Si,Cr,Cu,Bi,"
13,22,24,29,0.0023,0.00202,0.00182,0.00166,0.00154,0.0014199999999999,0.00132,0.00124,0.00114,0.00106,0.0009599999999999,0.00088,0.0008,0.0007,0.00062,0.00054,0.0004599999999999,0.0003799999999999,0.00032,0.00026,0.0002,0.00014,0.0001199999999999,8e-05,6e-05,4e-05,4e-05,4e-05,4e-05,6e-05,8e-05,0.0001,0.0001199999999999,0.00016,0.00018,0.00022,0.0002399999999999,0.00026,0.0003,0.00032,0.0003399999999999,0.0003399999999999,0.00036,0.00036,0.00036,0.00036,0.00036,0.00036,0.0003399999999999,0.0003399999999999,0.00032,0.0003,0.00028,0.00026,0.0002399999999999,0.00022,0.0002,0.00018,0.00016,0.00016,0.00014,0.00014,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.00014,0.00014,0.00016,0.00018,0.0002,0.00022,0.00026,0.00028,0.0003,0.0003399999999999,0.00036,0.0004,0.00042,0.0004599999999999,0.0004799999999999,0.0005,0.00054,0.00056,0.00058,0.0006,0.00062,0.00066,0.0006799999999999,0.0007,0.00072,0.00074,0.00078,0.0008,0.00084,0.00088,0.00094,0.001,0.00108,0.00118,0.00132,0.00158,0.00226,0.1725799999999999,0.47266,0.64994,0.7953399999999999,0.92278,1.04172,1.15332,1.26066,1.36654,1.46958,1.5723,1.6765,1.78112,1.88754,1.99816,2.1137,2.23526,2.3661,2.51084,2.67572,2.8704,3.10926,3.41233,3.8096,4.355119999999999,5.16404,6.53032,9.26179,14.67403,19.628,24.86557,30.9042,29.80038,25.95932,20.32594,14.78184,13.05528,12.86251,13.34145,14.40391,15.76151,16.75925,16.99642,16.574579999999997,15.76633,14.84106,14.01997,13.43608,13.15004,13.18038,13.4915,13.89296,13.917750000000002,13.32499,12.58401,12.03277,11.68924,11.48637,11.33002,11.06542,10.41967,9.19976,7.8409,6.81952,6.151680000000001,5.75778,5.54892,5.4509,5.41496,5.41452,5.43968,5.4821800000000005,5.5349,5.59328,5.65268,5.709219999999999,5.76084,5.806019999999999,5.8437,5.87352,5.89614,5.9129,5.92522,5.9343,5.94112,5.94644,5.9509,5.95518,5.96018,5.96696,5.97656,5.99001,6.00822,6.0317,6.0601400000000005,6.09252,Al,Ti,Cr,Cu,",Al,Ti,Cr,Cu,"
21,23,24,29,0.00124,0.00144,0.00166,0.00188,0.00212,0.0024,0.00276,0.00322,0.00382,0.00474,0.00614,0.0085799999999999,0.01342,0.02648,2.10372,19.03312,25.07746,28.3515,24.87728,0.38978,0.0271399999999999,0.0135,0.00826,0.00562,0.0040799999999999,0.0031,0.00244,0.00198,0.00166,0.0014199999999999,0.00124,0.00112,0.00104,0.0009599999999999,0.0009199999999999,0.0009,0.00086,0.00086,0.00084,0.00082,0.00082,0.0008,0.00078,0.00078,0.0007599999999999,0.00074,0.0007,0.0006799999999999,0.00064,0.00062,0.00058,0.00054,0.0005,0.0004599999999999,0.00042,0.0003799999999999,0.00036,0.00032,0.00028,0.0002399999999999,0.00022,0.0002,0.00018,0.00016,0.00016,0.00014,0.00014,0.00016,0.00016,0.00018,0.0002,0.00022,0.00026,0.00028,0.00032,0.0003399999999999,0.0003799999999999,0.00042,0.00044,0.0004799999999999,0.0005,0.00054,0.00056,0.0006,0.00062,0.00064,0.00066,0.0006799999999999,0.0007,0.00072,0.00072,0.00074,0.00074,0.0007599999999999,0.00078,0.00078,0.0008,0.00082,0.00082,0.00084,0.00088,0.0009,0.00094,0.00098,0.00104,0.0011,0.00116,0.00124,0.00134,0.00146,0.00158,0.0017399999999999,0.0019399999999999,0.0022,0.0025399999999999,0.00314,0.0323,0.4756,0.7343,0.97124,1.03736,1.29358,1.4371,1.56686,1.95016,1.80626,2.35242,2.48552,2.61104,3.35764,3.64202,4.57716,7.3389,14.13164,23.71498,29.65246,35.82858,34.929559999999995,28.43328,18.987,16.18512,15.53592,14.98778,15.08364,17.363039999999998,22.05816,24.05678,23.89506,22.7499,21.22526,19.6744,18.30886,17.25366,16.785079999999997,17.04338,18.33882,19.68472,19.73442,18.72434,16.97044,15.02378,13.50564,12.47198,11.78142,11.31642,11.00158,10.78834,10.64056,10.52284,10.38696,10.15172,9.67966,8.83094,7.7363,6.7530600000000005,5.98582,5.41194,4.9292,4.4293,4.11948,3.7436,3.51526,3.68326,4.10976,4.49902,4.7115800000000005,4.92668,5.19426,5.39294,5.7235,6.03356,6.2787,6.39288,6.4153,6.5054,6.5501,6.52534,6.53324,6.572019999999999,6.61556,Sc,V,Cr,Cu,",Sc,V,Cr,Cu,"
