Z1,Z2,Z3,Z4,dos1,dos2,dos3,dos4,dos5,dos6,dos7,dos8,dos9,dos10,dos11,dos12,dos13,dos14,dos15,dos16,dos17,dos18,dos19,dos20,dos21,dos22,dos23,dos24,dos25,dos26,dos27,dos28,dos29,dos30,dos31,dos32,dos33,dos34,dos35,dos36,dos37,dos38,dos39,dos40,dos41,dos42,dos43,dos44,dos45,dos46,dos47,dos48,dos49,dos50,dos51,dos52,dos53,dos54,dos55,dos56,dos57,dos58,dos59,dos60,dos61,dos62,dos63,dos64,dos65,dos66,dos67,dos68,dos69,dos70,dos71,dos72,dos73,dos74,dos75,dos76,dos77,dos78,dos79,dos80,dos81,dos82,dos83,dos84,dos85,dos86,dos87,dos88,dos89,dos90,dos91,dos92,dos93,dos94,dos95,dos96,dos97,dos98,dos99,dos100,dos101,dos102,dos103,dos104,dos105,dos106,dos107,dos108,dos109,dos110,dos111,dos112,dos113,dos114,dos115,dos116,dos117,dos118,dos119,dos120,dos121,dos122,dos123,dos124,dos125,dos126,dos127,dos128,dos129,dos130,dos131,dos132,dos133,dos134,dos135,dos136,dos137,dos138,dos139,dos140,dos141,dos142,dos143,dos144,dos145,dos146,dos147,dos148,dos149,dos150,dos151,dos152,dos153,dos154,dos155,dos156,dos157,dos158,dos159,dos160,dos161,dos162,dos163,dos164,dos165,dos166,dos167,dos168,dos169,dos170,dos171,dos172,dos173,dos174,dos175,dos176,dos177,dos178,dos179,dos180,dos181,dos182,dos183,dos184,dos185,dos186,dos187,dos188,dos189,dos190,dos191,dos192,dos193,dos194,dos195,dos196,dos197,dos198,dos199,dos200,elm1,elm2,elm3,elm4,elements
25,26,27,28,9e-05,7.999999999999999e-05,8.999999999999999e-05,0.0001,0.0001,0.00011,0.00011,0.00011,0.00011,0.00012,0.00012,0.0001099999999999,0.0001099999999999,0.0001099999999999,0.0001099999999999,0.0001099999999999,0.0001,0.0001,9e-05,9e-05,0.0001,8.999999999999999e-05,8.999999999999999e-05,8.999999999999999e-05,8.999999999999999e-05,8.999999999999999e-05,8.999999999999999e-05,8.999999999999999e-05,0.0001,0.0001,0.0001,0.0001099999999999,0.0001099999999999,0.0001199999999999,0.0001199999999999,0.00013,0.00013,0.00014,0.00015,0.0001599999999999,0.0001599999999999,0.00017,0.00017,0.0001799999999999,0.00019,0.00019,0.00019,0.00019,0.0001999999999999,0.00021,0.00021,0.00021,0.00021,0.00021,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.00023,0.00023,0.00023,0.00023,0.0002399999999999,0.00025,0.00025,0.00026,0.00027,0.00027,0.00029,0.0003,0.0003,0.0003199999999999,0.00033,0.00035,0.00037,0.00038,0.0004,0.00041,0.0004299999999999,0.00045,0.00048,0.00049,0.00051,0.00054,0.00056,0.00059,0.00061,0.0006399999999999,0.00068,0.0007099999999999,0.00074,0.00078,0.00081,0.00085,0.0009,0.00095,0.001,0.00106,0.00112,0.0012,0.00129,0.00139,0.00151,0.00167,0.00189,0.00227,0.01672,0.1884099999999999,0.4880099999999999,0.7734099999999999,0.81246,0.86485,1.29662,1.06478,1.28916,1.4272199999999995,1.68145,1.6608999999999998,1.99488,1.92122,2.19145,2.76617,2.60053,3.4342,5.18793,6.95933,8.71657,11.07938,13.16291,13.8319,12.66244,12.054010000000002,24.79922,25.26929,25.14266,26.42762,24.85046,19.15459,17.49719,22.62244,23.637970000000003,31.06993,37.09258,38.64153,30.345009999999995,24.6956,22.2664,20.94181,21.72346,20.33642,17.64629,15.37047,14.41973,14.34071,13.21735,13.15825,13.03551,13.94559,12.47362,12.55534,11.3385,10.04949,7.7559,6.58275,5.08304,3.4257,4.5627200000000006,4.13725,3.69024,3.65906,3.51474,2.59159,2.41981,2.797,3.39303,2.43096,1.84956,1.86856,1.3056899999999998,2.34166,1.28307,1.43478,2.4902300000000004,3.50985,3.63057,3.61695,3.23396,3.26134,4.99827,5.94202,5.16822,4.71722,4.98886,5.59994,5.28526,4.832510000000001,4.86023,5.8470200000000006,5.33038,5.0864,Mn,Fe,Co,Ni,",Mn,Fe,Co,Ni,"
25,26,28,29,0.0001,0.0001199999999999,0.00014,0.00015,0.00017,0.00017,0.0001799999999999,0.00019,0.0001799999999999,0.00017,0.00017,0.0001599999999999,0.0001599999999999,0.00014,0.00013,0.0001099999999999,0.0001,9e-05,7e-05,7e-05,6.000000000000001e-05,5e-05,4e-05,4e-05,4e-05,4e-05,4e-05,4e-05,5e-05,6.000000000000001e-05,7e-05,8e-05,9e-05,0.0001,0.0001199999999999,0.00013,0.00015,0.00015,0.00017,0.00018,0.00018,0.0002,0.0002,0.00021,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00022,0.00022,0.00023,0.00023,0.0002399999999999,0.00025,0.00025,0.00027,0.00028,0.00029,0.00031,0.0003199999999999,0.00034,0.0003599999999999,0.00039,0.0004,0.0004199999999999,0.0004399999999999,0.00047,0.00049,0.0005099999999999,0.0005399999999999,0.00056,0.0006,0.0006199999999999,0.00065,0.0006799999999999,0.00071,0.00074,0.00078,0.00081,0.00085,0.0009,0.00094,0.00099,0.00104,0.0011099999999999,0.00118,0.0012599999999999,0.00135,0.00146,0.0016099999999999,0.00178,0.0020499999999999,0.00259,0.11078,0.36078,0.56031,0.77364,0.8726299999999999,0.95752,1.1146,1.14879,1.49362,1.70876,1.44656,1.69495,2.30303,1.98143,2.27553,2.9511000000000003,2.6827300000000003,3.3765400000000003,4.99774,6.07446,8.83701,10.747599999999998,14.86732,18.02911,16.5775,17.63382,29.54685,29.41451,30.156640000000003,31.00608,29.77851,24.3392,18.82304,22.67234,27.651450000000004,28.241209999999995,28.762770000000003,31.11527,30.42055,26.56662,25.17299,23.74727,20.23966,16.72786,13.99491,11.10007,11.57168,10.70666,10.61568,10.833900000000002,12.07063,10.98768,11.51908,10.31537,10.5914,9.79685,7.93811,5.58045,4.7087900000000005,4.2928,4.82555,3.45074,4.55096,2.7603,2.46721,2.91103,3.05274,3.34276,1.54501,2.12835,1.49259,2.11351,1.7797999999999998,1.9243,2.87085,3.14831,3.29252,4.24982,4.54291,4.360790000000001,4.98621,5.25018,5.0269200000000005,4.43109,4.95746,5.33891,5.02156,4.841239999999999,5.08656,5.653879999999999,5.19378,4.97913,5.09781,5.51801,Mn,Fe,Ni,Cu,",Mn,Fe,Ni,Cu,"
25,26,28,39,0.0001199999999999,0.0001199999999999,0.0001499999999999,0.0001699999999999,0.0002,0.00023,0.00028,0.00032,0.00035,0.00039,0.00043,0.00045,0.00049,0.0005,0.00053,0.0005399999999999,0.0005499999999999,0.00056,0.00057,0.00058,0.00059,0.00061,0.0006399999999999,0.00068,0.00074,0.00082,0.00092,0.00106,0.00124,0.00146,0.00178,0.00221,0.00284,0.0038,0.00549,0.00943,0.65455,3.59781,7.49832,9.36456,10.37218,11.10831,11.74215,12.25867,12.47092,11.78999,7.37907,1.6701199999999998,0.01485,0.00784,0.0052499999999999,0.00388,0.0030299999999999,0.00246,0.00205,0.00174,0.00151,0.00132,0.00116,0.00102,0.00091,0.00082,0.00074,0.00067,0.00061,0.00057,0.00053,0.00051,0.0004799999999999,0.00047,0.0004699999999999,0.0004799999999999,0.00048,0.0005,0.0005,0.00052,0.00055,0.00057,0.0006,0.00062,0.0006399999999999,0.00067,0.00069,0.0007199999999999,0.00074,0.0007599999999999,0.00077,0.0007899999999999,0.00081,0.00082,0.00083,0.00084,0.0008499999999999,0.0008599999999999,0.0008699999999999,0.0008799999999999,0.00089,0.0009,0.00092,0.00093,0.00095,0.00098,0.001,0.00104,0.0010899999999999,0.00114,0.00119,0.0012699999999999,0.00136,0.00146,0.00158,0.00174,0.00192,0.00214,0.00244,0.00292,0.03218,0.23403,0.50293,0.7901,0.97083,1.18863,1.32004,1.59513,1.7362799999999998,2.01892,2.23866,2.52985,3.04108,3.51225,5.01644,7.3854,10.29572,13.42877,15.66394,19.75092,24.31183,24.92071,25.27072,26.42996,27.938320000000004,28.93973,31.869390000000003,41.87876,42.18409,26.53259,19.19302,18.12323,18.04081,17.75193,17.26668,16.70281,16.08397,15.60532,15.58808,15.96117,15.749390000000002,14.98225,14.45724,14.0403,12.98591,11.32251,10.01727,9.13809,8.510159999999999,8.03603,7.665179999999999,7.36882,7.12905,6.93398,6.77534,6.647209999999999,6.54527,6.46635,6.408009999999999,6.3683000000000005,6.34517,6.33561,6.33441,6.33303,6.32172,6.30048,6.28839,6.29965,6.33188,6.37529,6.41583,6.442679999999999,6.44393,6.421250000000001,6.38738,6.355840000000001,6.33234,6.313599999999999,6.29975,6.29159,6.28758,6.28623,6.2875,6.29168,Mn,Fe,Ni,Y,",Mn,Fe,Ni,Y,"
25,26,28,40,0.00058,0.0006399999999999,0.0007199999999999,0.00082,0.00092,0.00104,0.00119,0.00138,0.0016099999999999,0.0019099999999999,0.00232,0.0029,0.00383,0.00545,0.0093899999999999,0.75956,3.39218,7.028089999999999,9.00675,10.05498,10.80732,11.4438,11.96541,12.22204,11.74757,8.1518,3.31651,0.0209,0.0086,0.0053799999999999,0.0038199999999999,0.00291,0.00232,0.0019099999999999,0.00163,0.00141,0.0012499999999999,0.00112,0.0010199999999999,0.00094,0.0008699999999999,0.00082,0.00077,0.00074,0.0007,0.00068,0.0006399999999999,0.00062,0.00059,0.00056,0.0005499999999999,0.00052,0.0005,0.00048,0.00045,0.0004399999999999,0.00041,0.0004,0.0003799999999999,0.0003599999999999,0.00035,0.00033,0.00033,0.0003199999999999,0.0003099999999999,0.0003,0.0003,0.0003,0.0003099999999999,0.0003099999999999,0.0003199999999999,0.00034,0.00035,0.00036,0.00037,0.00039,0.00041,0.00043,0.0004399999999999,0.00047,0.00049,0.00051,0.00053,0.0005499999999999,0.00057,0.00059,0.00061,0.00063,0.00066,0.00068,0.0007,0.0007199999999999,0.00074,0.00076,0.00078,0.00081,0.00083,0.0008699999999999,0.00089,0.00093,0.0009699999999999,0.00102,0.00107,0.00113,0.00119,0.0012799999999999,0.00136,0.00146,0.0015899999999999,0.00174,0.0019199999999999,0.00217,0.00257,0.0132,0.19437,0.46624,0.7032400000000001,0.84397,1.01806,1.2198600000000002,1.37728,1.48657,1.73304,1.9407,2.14804,2.52316,2.926,3.52984,5.164540000000001,7.16009,9.32222,11.99932,14.56352,16.15759,16.83697,19.805,25.79115,25.93331,25.75609,26.07483,25.04629,27.09239,29.21523,35.32967,35.09919,29.4416,22.79331,18.82791,17.26619,16.47654,15.92727,15.2393,14.52175,14.07009,14.11173,14.624009999999998,14.95963,14.49314,13.94103,13.55905,12.83694,11.47136,10.17951,9.24952,8.566320000000001,8.039769999999999,7.61969,7.27522,6.98532,6.73452,6.51058,6.30313,6.10286,5.90125,5.69112,5.46818,5.232710000000001,4.99013,4.75024,4.52247,4.318350000000001,4.15185,4.0494,4.045319999999999,4.10686,4.23296,4.444990000000001,4.76952,5.04275,5.253410000000001,5.42178,5.55256,5.648289999999999,5.7029700000000005,5.728160000000001,5.73675,5.746079999999999,5.75203,5.75258,5.75367,Mn,Fe,Ni,Zr,",Mn,Fe,Ni,Zr,"
25,26,28,41,12.8252,13.403029999999998,13.46568,11.69033,5.45793,0.36767,0.0116899999999999,0.0068,0.00467,0.00348,0.00273,0.0022199999999999,0.00185,0.0015699999999999,0.00136,0.00119,0.00105,0.00094,0.00084,0.00076,0.0007,0.00063,0.00058,0.00053,0.00049,0.00047,0.00043,0.00041,0.00039,0.00038,0.0003599999999999,0.00035,0.00035,0.0003399999999999,0.0003399999999999,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,0.0003399999999999,0.0003399999999999,0.00033,0.00033,0.00033,0.00033,0.00033,0.0003199999999999,0.0003199999999999,0.0003199999999999,0.0003099999999999,0.0003099999999999,0.0003,0.0003,0.00029,0.00029,0.00028,0.00028,0.00028,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00028,0.00029,0.00029,0.0003,0.00031,0.00032,0.00033,0.00035,0.0003599999999999,0.00038,0.00039,0.00041,0.00043,0.0004399999999999,0.00046,0.00049,0.0005099999999999,0.00052,0.0005399999999999,0.00057,0.00059,0.00061,0.0006399999999999,0.00066,0.0006799999999999,0.00072,0.00074,0.00077,0.00081,0.00084,0.0008799999999999,0.0009199999999999,0.0009599999999999,0.00101,0.00106,0.00113,0.0012,0.0012699999999999,0.0013599999999999,0.00146,0.00158,0.0017399999999999,0.00193,0.00219,0.00268,0.08201,0.31048,0.52903,0.72763,0.86717,0.92014,1.17999,1.34353,1.4012,1.74807,1.82585,2.09388,2.53534,2.87174,3.89585,6.09726,8.27537,10.18716,11.9265,13.757099999999998,15.34823,15.65527,13.76179,19.68345,25.74541,23.86065,22.38627,26.26287,27.53673,24.11934,21.92263,23.89839,30.24091,30.86725,26.86953,23.91722,20.37225,17.95444,16.97369,15.92196,14.85632,14.10445,13.81289,14.05186,14.673750000000002,15.08028,14.74835,14.305140000000002,13.83036,12.77929,11.379079999999998,10.23404,9.35199,8.63569,8.027460000000001,7.48667,6.98084,6.48865,6.0069,5.55476,5.16333,4.834490000000001,4.54567,4.29947,4.10403,3.913,3.72883,3.57098,3.40771,3.25551,3.12212,2.96502,2.83157,2.77931,2.9223,3.20781,3.3227,3.64501,4.22833,4.58425,4.86665,5.07227,5.23128,5.3744700000000005,5.45357,5.50117,5.50949,5.51769,5.53021,Mn,Fe,Ni,Nb,",Mn,Fe,Ni,Nb,"
25,26,28,42,0.00061,0.00058,0.0005499999999999,0.00052,0.0005,0.00048,0.00046,0.0004399999999999,0.00042,0.0003999999999999,0.00039,0.00037,0.00036,0.00033,0.0003199999999999,0.00031,0.00029,0.00028,0.00027,0.00025,0.00024,0.00023,0.0002199999999999,0.00021,0.00021,0.00019,0.00019,0.00019,0.00019,0.00018,0.00018,0.00019,0.00019,0.00019,0.0002,0.0002,0.00021,0.00021,0.0002199999999999,0.0002199999999999,0.00023,0.00023,0.00023,0.0002399999999999,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00026,0.00025,0.00025,0.00025,0.00025,0.00025,0.0002399999999999,0.0002399999999999,0.0002399999999999,0.00025,0.00025,0.00026,0.00026,0.00026,0.00027,0.00028,0.00028,0.0003,0.00031,0.00032,0.00033,0.00035,0.0003599999999999,0.00038,0.0003999999999999,0.00041,0.00043,0.00045,0.00048,0.00049,0.0005099999999999,0.00053,0.00056,0.00058,0.00061,0.0006299999999999,0.00065,0.00069,0.00072,0.00074,0.00078,0.00081,0.00085,0.00089,0.00094,0.00098,0.0010299999999999,0.0010999999999999,0.00116,0.00124,0.00133,0.00142,0.00154,0.00167,0.00184,0.00207,0.00245,0.01204,0.1627499999999999,0.4525,0.5999399999999999,0.7557099999999999,0.99104,1.21327,1.30366,1.26371,1.59503,1.81275,1.87607,2.48625,2.69057,3.95713,6.558199999999999,8.75665,10.214759999999998,11.37622,12.65502,13.844409999999998,14.92005,14.27211,13.74095,19.93419,23.14179,22.03784,21.59902,25.50277,27.03575,23.06985,19.14835,20.39249,23.26133,29.54457,29.63444,25.11973,22.14894,20.14502,19.36209,18.03236,16.48988,15.267499999999998,14.53258,14.337689999999998,14.69286,15.48943,15.99347,15.737380000000002,15.43841,15.08326,13.83339,11.89251,10.07153,8.447780000000002,7.06397,6.05191,5.41478,4.898070000000001,4.464180000000001,4.2941400000000005,4.17021,3.98469,3.6726,3.60845,3.55734,3.35611,3.23081,3.06743,2.8979600000000003,2.7855600000000003,2.7600300000000004,2.5047,2.3035300000000003,2.2617800000000003,2.02443,2.2913,2.83229,2.82263,3.04911,3.86962,4.33158,4.72302,4.974600000000001,5.135479999999999,5.29191,5.42526,5.47756,5.51394,5.49183,5.49612,Mn,Fe,Ni,Mo,",Mn,Fe,Ni,Mo,"
25,26,28,43,0.00023,0.0002199999999999,0.0002199999999999,0.00022,0.00022,0.00022,0.00022,0.00021,0.00021,0.00021,0.0001999999999999,0.0001999999999999,0.00019,0.00019,0.00018,0.00017,0.00017,0.00016,0.00015,0.00015,0.00014,0.00014,0.00014,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00014,0.00014,0.00014,0.00015,0.00015,0.00016,0.00016,0.00017,0.00017,0.00018,0.00018,0.00019,0.0002,0.0002,0.00021,0.00021,0.00021,0.0002199999999999,0.00023,0.00023,0.00023,0.00023,0.00023,0.00024,0.00023,0.00023,0.00023,0.00023,0.0002399999999999,0.0002399999999999,0.0002399999999999,0.0002399999999999,0.0002399999999999,0.00026,0.00026,0.00026,0.00027,0.00028,0.00028,0.0003,0.00031,0.00032,0.00033,0.00035,0.0003599999999999,0.00038,0.00039,0.00041,0.00043,0.0004399999999999,0.00046,0.00048,0.0005099999999999,0.00053,0.0005499999999999,0.00058,0.0006,0.0006299999999999,0.00065,0.0006799999999999,0.00072,0.00074,0.00078,0.00081,0.00085,0.0009,0.00094,0.00099,0.00105,0.0011099999999999,0.00118,0.0012599999999999,0.00134,0.00145,0.00157,0.00171,0.0019,0.00215,0.00261,0.10189,0.27222,0.48326,0.73665,0.81718,0.86097,1.28659,1.29132,1.11134,1.84788,1.6579199999999998,2.00712,2.56081,3.01425,5.6936,8.19808,9.74561,10.89572,11.75776,12.729039999999998,13.695980000000002,14.38146,13.9808,15.10916,18.33971,20.79267,20.83244,20.89772,23.81768,25.66157,22.62447,17.19674,19.02353,19.88415,24.82702,30.12921,28.60382,24.16129,21.36745,20.81075,20.75308,19.33029,17.64972,16.32057,15.509049999999998,15.268710000000002,15.61931,16.29936,16.59788,15.95374,15.339580000000002,14.96301,12.18042,9.18277,7.48026,6.03482,5.146850000000001,4.89833,3.99107,3.91979,4.13207,4.10178,3.54969,3.0715,3.52082,3.45951,3.15478,3.00593,2.6687700000000003,2.57453,2.6883,2.7232700000000003,2.09179,2.0110900000000003,2.06525,1.74823,1.63001,2.48763,2.58511,2.78414,3.1377,3.85031,4.44387,4.84987,5.1170100000000005,5.23533,5.35251,5.49619,5.51347,5.56002,5.514200000000001,5.496409999999999,Mn,Fe,Ni,Tc,",Mn,Fe,Ni,Tc,"
25,26,28,44,0.00013,0.00014,0.00014,0.00015,0.00014,0.00014,0.00015,0.00015,0.0001599999999999,0.0001599999999999,0.00015,0.00015,0.00015,0.00014,0.00014,0.00013,0.00014,0.00013,0.00013,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001099999999999,0.0001099999999999,0.0001099999999999,0.0001099999999999,0.0001099999999999,0.0001099999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.00013,0.00013,0.00014,0.00014,0.00015,0.00015,0.0001599999999999,0.00017,0.00018,0.00018,0.00019,0.00019,0.00019,0.00021,0.00021,0.00021,0.00021,0.00021,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.00023,0.00023,0.00023,0.00023,0.0002399999999999,0.0002399999999999,0.00025,0.00025,0.00026,0.00026,0.00026,0.00028,0.00028,0.00029,0.0003,0.00031,0.00033,0.00034,0.00035,0.0003599999999999,0.00038,0.0003999999999999,0.00041,0.0004399999999999,0.00046,0.00048,0.00049,0.00052,0.0005399999999999,0.00056,0.00059,0.00061,0.0006399999999999,0.00067,0.0007,0.00073,0.00077,0.0007999999999999,0.00084,0.00089,0.00093,0.00098,0.00104,0.0010999999999999,0.00116,0.00124,0.00133,0.0014299999999999,0.00153,0.00168,0.00185,0.00208,0.00247,0.01295,0.16269,0.45138,0.59389,0.76571,1.02968,1.32286,0.87066,1.34564,1.7515299999999998,1.76746,1.74534,2.48402,2.93115,5.512249999999999,7.39494,9.77818,10.93719,11.78491,12.76639,13.56252,14.26302,14.50787,15.20124,17.00336,19.09046,20.018790000000003,20.19556,22.0964,24.28096,23.00042,17.552729999999997,16.44012,18.33675,20.70373,27.66943,30.64584,27.98665,24.31449,21.694,22.15115,22.62168,21.213790000000003,18.99472,16.90672,15.23657,14.36225,14.1911,14.06363,14.40957,13.81055,13.44843,13.03717,11.94102,9.54564,7.26075,5.65766,4.90104,4.27246,3.83383,4.33167,3.99978,3.53976,2.94443,3.31002,3.68265,3.35869,2.71523,2.48984,2.36836,2.79799,2.83305,1.99246,1.81974,1.89226,1.8009499999999998,1.49245,1.8014,2.77103,2.64329,2.87342,3.28763,3.83229,4.5709,4.93742,5.26249,5.31182,5.376659999999999,5.51908,5.53259,5.5448900000000005,5.501860000000001,5.462479999999999,Mn,Fe,Ni,Ru,",Mn,Fe,Ni,Ru,"
25,26,28,45,0.0001,0.0001,0.0001099999999999,0.0001099999999999,0.00012,0.00012,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001099999999999,0.0001099999999999,0.0001099999999999,0.0001,0.0001,0.0001,0.0001,8.999999999999999e-05,8.999999999999999e-05,0.0001,0.0001,0.0001,0.0001,0.0001099999999999,0.0001099999999999,0.00013,0.00013,0.00014,0.00014,0.00015,0.00015,0.0001599999999999,0.00017,0.00018,0.00018,0.00019,0.00019,0.00019,0.00021,0.00021,0.00021,0.00021,0.00021,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.0002199999999999,0.00023,0.00023,0.00023,0.00023,0.00023,0.0002399999999999,0.00025,0.00025,0.00026,0.00026,0.00027,0.00028,0.00028,0.00029,0.00031,0.00031,0.00033,0.00034,0.0003599999999999,0.00037,0.00039,0.00041,0.0004199999999999,0.0004399999999999,0.00046,0.00047,0.0005,0.00052,0.0005399999999999,0.00057,0.00059,0.00062,0.00065,0.0006799999999999,0.00071,0.00074,0.00078,0.00081,0.00085,0.0009,0.00095,0.001,0.00106,0.0011099999999999,0.00118,0.00126,0.00135,0.00145,0.00157,0.00171,0.00189,0.00213,0.0025599999999999,0.06776,0.21575,0.4683,0.7560199999999999,0.69892,0.85867,1.29841,0.94686,1.34605,1.90385,1.5647699999999998,1.95994,2.31096,3.46846,6.11856,7.28758,10.20421,11.39821,12.51707,13.518809999999998,14.24176,14.89934,15.40491,16.23631,17.63951,19.1226,19.88127,20.67552,22.44989,23.314120000000003,21.0639,15.09585,16.74897,18.3661,23.27744,29.82898,31.82939,30.01582,25.80486,24.27312,25.14572,22.600810000000003,19.80251,17.49945,15.10151,13.51626,11.35808,12.48472,12.86903,13.2111,12.35205,11.75573,12.373910000000002,11.96675,10.81479,7.80189,5.872310000000001,5.10783,4.78788,4.4019200000000005,3.57389,4.0106,3.26908,3.0222800000000003,3.904900000000001,3.73498,2.14089,2.70508,2.29815,3.03339,2.72839,1.84309,2.0559700000000003,1.51497,1.88435,1.4393699999999998,1.80722,2.96137,2.93504,2.96612,3.31228,3.62413,4.308859999999999,4.95658,5.276489999999999,5.43002,5.374359999999999,5.44679,5.65533,5.521660000000001,5.48747,5.42497,5.53819,Mn,Fe,Ni,Rh,",Mn,Fe,Ni,Rh,"
25,26,28,46,8e-05,8e-05,8e-05,8e-05,9e-05,9e-05,9e-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001099999999999,0.0001099999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.0001199999999999,0.00013,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00017,0.00018,0.00018,0.00018,0.00018,0.00019,0.0002,0.0002,0.0002,0.00021,0.00022,0.00022,0.00022,0.0002399999999999,0.0002399999999999,0.0002399999999999,0.00026,0.00026,0.00028,0.00028,0.00028,0.0003,0.0003,0.00032,0.00032,0.0003399999999999,0.0003399999999999,0.00036,0.00036,0.0003799999999999,0.0004,0.0004,0.00042,0.00044,0.0004599999999999,0.0004699999999999,0.00049,0.00051,0.00053,0.00056,0.00058,0.0006,0.00063,0.00066,0.00069,0.00072,0.0007599999999999,0.0008,0.00084,0.00088,0.00094,0.00098,0.00104,0.0011,0.00118,0.00126,0.00134,0.00145,0.00156,0.00169,0.00186,0.00206,0.00234,0.0028,0.01376,0.28,0.58307,0.71697,0.95475,0.98623,1.29474,1.18065,1.369,2.09684,1.48717,2.26461,3.12878,3.93087,9.4961,11.23002,12.70447,13.76018,14.41449,15.13466,15.768459999999996,16.32913,16.862830000000002,17.413719999999998,18.05411,18.81116,19.59632,20.26865,20.7336,21.03406,21.31056,21.62807,21.7271,21.23877,21.03559,22.12498,24.72554,27.93591,31.06914,31.30634,22.9765,17.7856,16.53113,16.415260000000004,16.53304,16.84017,17.190060000000003,16.657610000000002,14.09509,11.16786,10.26941,10.29464,8.78103,7.702999999999999,6.45993,5.64254,4.38202,4.07769,4.14788,4.588,3.49939,3.36754,2.93027,3.02566,3.266,3.49483,2.41961,2.0562,1.98632,2.50333,2.2716900000000004,1.56088,1.68307,1.3540100000000002,1.16445,0.7585500000000001,1.36753,3.62641,5.314920000000001,5.79535,5.79534,5.70909,5.34811,5.26371,5.35201,5.06268,5.20783,5.60929,5.88321,5.58765,5.14602,5.63982,5.3071,Mn,Fe,Ni,Pd,",Mn,Fe,Ni,Pd,"
