Z1,Z2,Z3,Z4,log10_dos1,log10_dos2,log10_dos3,log10_dos4,log10_dos5,log10_dos6,log10_dos7,log10_dos8,log10_dos9,log10_dos10,log10_dos11,log10_dos12,log10_dos13,log10_dos14,log10_dos15,log10_dos16,log10_dos17,log10_dos18,log10_dos19,log10_dos20,log10_dos21,log10_dos22,log10_dos23,log10_dos24,log10_dos25,log10_dos26,log10_dos27,log10_dos28,log10_dos29,log10_dos30,log10_dos31,log10_dos32,log10_dos33,log10_dos34,log10_dos35,log10_dos36,log10_dos37,log10_dos38,log10_dos39,log10_dos40,log10_dos41,log10_dos42,log10_dos43,log10_dos44,log10_dos45,log10_dos46,log10_dos47,log10_dos48,log10_dos49,log10_dos50,log10_dos51,log10_dos52,log10_dos53,log10_dos54,log10_dos55,log10_dos56,log10_dos57,log10_dos58,log10_dos59,log10_dos60,log10_dos61,log10_dos62,log10_dos63,log10_dos64,log10_dos65,log10_dos66,log10_dos67,log10_dos68,log10_dos69,log10_dos70,log10_dos71,log10_dos72,log10_dos73,log10_dos74,log10_dos75,log10_dos76,log10_dos77,log10_dos78,log10_dos79,log10_dos80,log10_dos81,log10_dos82,log10_dos83,log10_dos84,log10_dos85,log10_dos86,log10_dos87,log10_dos88,log10_dos89,log10_dos90,log10_dos91,log10_dos92,log10_dos93,log10_dos94,log10_dos95,log10_dos96,log10_dos97,log10_dos98,log10_dos99,log10_dos100,elm1,elm2,elm3,elm4,elements,semicore
23,25,50,78,-3.113509274827518,-3.0457574905606752,-3.0,-2.9746941347352296,-2.9586073148418146,-2.954677021213381,-2.962573502059416,-2.9746941347352296,-2.9913998282380825,-3.0132282657338,-3.0457574905606752,-3.0861861476162837,-3.1249387366083,-3.1739251972991736,-3.214670164989233,-3.259637310505835,-3.3010299956639813,-3.337242168318426,-3.3665315444204134,-3.376750709602203,-3.3665315444205146,-3.3279021420642825,-3.275724130399211,-3.214670164989233,-3.1487416512809245,-3.0757207139381184,-3.0,-2.9281179926938745,-2.856985199745905,-2.7878123955960423,-2.7166987712964503,-2.643974142806877,-2.571865205971211,-2.496209316942819,-2.416801226031377,-2.329754146925876,-2.234331445240986,-2.126679398184607,-2.000434511774022,-1.848936746646253,-1.6581699430794896,-1.3992448503603818,-0.9682684600541736,1.407508683440356,1.8659221418649417,1.804369608763423,0.5468448371601844,-1.2095037230328904,-1.531209737900389,-1.751291264399082,-1.9197343726601588,-2.0560111249262283,-2.170053304058364,-2.2676062401770314,-2.3535962737769305,-2.4294570601181023,-2.4975728800155674,-2.5590909179347823,-2.614393726401688,-2.6675615400843946,-2.716698771296473,-2.764471553092476,-2.8068754016455384,-2.8416375079047804,-2.87942606879415,-2.913640169325252,-2.9430951486635277,-2.9746941347352296,-3.0,-3.017728766960432,-3.036212172654445,-3.050609993355087,-3.0604807473813813,-3.070581074285707,-3.0757207139381184,-3.0757207139381184,-3.0757207139381184,-3.070581074285707,-3.065501548756432,-3.0555173278498806,-3.0457574905606752,-3.036212172654445,-3.022276394711198,-3.0043648054024503,-2.98296666070122,-2.9586073148418146,-2.9281179926938745,-2.882728704344236,-2.815308569182401,-2.6635402661514704,-0.7557971239170154,-0.3592503174902327,-0.2272310242900272,-0.1437243653360148,-0.0818700177011104,-0.0324005479601302,0.0090257420869102,0.0447748742564424,0.0762835421632534,0.1044734540384775,V,Mn,Sn,Pt,",V,Mn,Sn,Pt,",Sn
25,26,48,50,-3.0409586076789066,-2.9746941347352296,-2.9355420107730814,-2.913640169325252,-2.906578314837765,-2.906578314837765,-2.913640169325252,-2.9318141382538383,-2.9546770212133424,-2.9788107009300617,-3.0132282657337552,-3.050609993355087,-3.1023729087096137,-3.154901959985743,-3.214670164989233,-3.283996656365201,-3.3665315444204134,-3.431798275933005,-3.4948500216802296,-3.537602002101044,-3.552841968657781,-3.5228787452803374,-3.4685210829578725,-3.3767507096021,-3.275724130399211,-3.1739251972991736,-3.0861861476162837,-2.9913998282380825,-2.903089986991944,-2.8210230527068307,-2.744727494896694,-2.6675615400843946,-2.593459819566045,-2.517126416391246,-2.4377071355435254,-2.354577730650908,-2.2628073572952627,-2.161150909262745,-2.0443122496864943,-1.9058784041594383,-1.7351821769904636,-1.5134278494816436,-1.1916539642596051,0.1700973566562983,1.8282533768083844,1.9453202989705352,0.9682825664915756,-1.0917831469106074,-1.4506288476668228,-1.6878226435602213,-1.8661418747966685,-2.008773924307505,-2.1260984021355385,-2.2269453066357374,-2.3142582613977365,-2.39040559077478,-2.458420756053432,-2.519993057042849,-2.576754126063192,-2.628932137728264,-2.677780705266081,-2.721246399047194,-2.7619538968712045,-2.801342913045605,-2.835647144215563,-2.869666231504994,-2.8927900303521654,-2.913640169325252,-2.9318141382538383,-2.94692155651658,-2.9586073148418146,-2.9586073148418146,-2.9586073148418146,-2.9507819773298185,-2.9430951486635277,-2.9318141382538383,-2.913640169325252,-2.8961962790440774,-2.8728952016351923,-2.8477116556169437,-2.8239087409443187,-2.7958800173441025,-2.7670038896078464,-2.735182176990464,-2.701146923590293,-2.661543506395395,-2.6234230429435064,-2.575118363368933,-2.5228787452803374,-2.4584207560534197,-2.362510270487489,-0.9341589656802812,-0.3315208970674144,-0.1628094264012552,-0.0582749510000764,0.0257071973117985,0.1054624949144309,0.1956367832160674,0.3235161039681359,0.5694359472527348,Mn,Fe,Cd,Sn,",Mn,Fe,Cd,Sn,",Sn
22,25,28,50,-2.669586226650809,-2.673664139071249,-2.6757175447023074,-2.677780705266081,-2.6819366650372385,-2.690369832574101,-2.703334809738469,-2.7189666327522723,-2.7399286120149253,-2.7644715530924517,-2.790484985457369,-2.826813731587726,-2.8664610916298146,-2.910094888560602,-2.96657624451305,-3.022276394711198,-3.0861861476162837,-3.154901959985743,-3.229147988357856,-3.292429823902149,-3.356547323513813,-3.3979400086721463,-3.397940008672037,-3.3872161432802645,-3.337242168318426,-3.2518119729938,-3.167491087293764,-3.0809219076239263,-2.98296666070122,-2.896196279044043,-2.8041003475907664,-2.716698771296473,-2.630784142589857,-2.5466816599529625,-2.4596705252091264,-2.3695721249749866,-2.274905478918531,-2.169411331314856,-2.050609993355087,-1.9118639112994489,-1.7411233706278686,-1.518414063632379,-1.1882239783970965,0.7239684770090461,1.7697480907071923,1.914294911252447,1.3014085354328375,-0.9871206128287102,-1.4046140191908594,-1.6575773191777938,-1.8434508486682184,-1.9905491042013064,-2.112382699664264,-2.217527375833714,-2.309803919971486,-2.391473966422817,-2.468521082957745,-2.540607512240769,-2.6090648928966207,-2.6757175447023074,-2.7423214251308154,-2.804100347590794,-2.8664610916298146,-2.9318141382538383,-2.987162775294828,-3.0409586076789066,-3.0915149811213505,-3.136677139879544,-3.1739251972991736,-3.200659450546487,-3.214670164989233,-3.214670164989233,-3.207608310501746,-3.200659450546487,-3.1804560644581312,-3.161150909262745,-3.136677139879544,-3.10790539730952,-3.0809219076239263,-3.0555173278498806,-3.0315170514460648,-3.0087739243075053,-2.987162775294828,-2.962573502059416,-2.9430951486635277,-2.920818753952376,-2.899629454882437,-2.876148359032914,-2.8416375079047804,-2.7931741239681505,-2.690369832574101,-0.9703727609525876,-0.4191320220909699,-0.2686449626301912,-0.1792010576306167,-0.1147236113940733,-0.0640445640042094,-0.0221666920670536,0.0135618494671862,0.0447239437195517,Ti,Mn,Ni,Sn,",Ti,Mn,Ni,Sn,",Sn
13,28,50,79,-3.130768280269024,-3.0555173278498318,-3.0,-2.96657624451305,-2.9507819773298185,-2.9430951486635277,-2.9430951486635277,-2.9507819773298185,-2.96657624451305,-2.98296666070122,-3.017728766960477,-3.0457574905606752,-3.096910013008056,-3.1426675035687315,-3.193820026016113,-3.2518119729938,-3.3187587626245034,-3.3767507096021,-3.420216403383304,-3.4436974992327127,-3.4436974992327127,-3.420216403383304,-3.3767507096021,-3.3010299956639813,-3.2218487496163566,-3.130768280269024,-3.0457574905606752,-2.958607314841775,-2.8728952016351923,-2.795880017344075,-2.716698771296473,-2.638272163982407,-2.5590909179347823,-2.478861916295964,-2.393618634889395,-2.3027706572402824,-2.202040356262804,-2.088309841246144,-1.9562448730313244,-1.7958800173440752,-1.5924391505136375,-1.3094495384896414,-0.7968038750649675,1.62398118336767,1.9741565590429169,1.474053300206031,-0.8909617044256188,-1.3465945093354987,-1.6154673845057514,-1.810790510417694,-1.964170174747172,-2.0904439707588245,-2.196542884351586,-2.289036881004724,-2.370590400897281,-2.4436974992327127,-2.511449283499556,-2.575118363368933,-2.630784142589857,-2.6861327796308467,-2.7399286120149253,-2.790484985457369,-2.835647144215563,-2.87942606879415,-2.920818753952376,-2.958607314841775,-3.0,-3.026872146400301,-3.0555173278498318,-3.0757207139381184,-3.096910013008056,-3.096910013008056,-3.10790539730952,-3.10790539730952,-3.10790539730952,-3.096910013008056,-3.0861861476162837,-3.065501548756432,-3.0555173278498318,-3.036212172654492,-3.0087739243075053,-2.991399828238125,-2.96657624451305,-2.9430951486635277,-2.913640169325252,-2.886056647693163,-2.847711655616974,-2.795880017344075,-2.707743928643524,-1.585026652029182,-0.4430706376055593,-0.2340037994450582,-0.1281469648108078,-0.0555173278498313,0.0003646542314541,0.0460422943353756,0.08489071481379,0.1188398762253045,0.1490527552514122,0.1763864789399867,Al,Ni,Sn,Au,",Al,Ni,Sn,Au,",Sn
25,29,44,50,-3.154901959985743,-3.0457574905606752,-2.9746941347352296,-2.9281179926938745,-2.8961962790440774,-2.882728704344236,-2.87942606879415,-2.886056647693163,-2.899629454882472,-2.91721462968355,-2.94692155651658,-2.98296666070122,-3.026872146400301,-3.0757207139381184,-3.136677139879544,-3.193820026016181,-3.2676062401770314,-3.327902142064375,-3.3872161432802645,-3.4436974992327127,-3.4559319556497243,-3.4559319556497243,-3.42021640338319,-3.3467874862246565,-3.2676062401770314,-3.1739251972991736,-3.0809219076239263,-2.987162775294828,-2.8961962790440774,-2.8068754016455384,-2.7189666327522723,-2.6345120151091,-2.549750891680639,-2.4647058799572297,-2.373659632624968,-2.2765443279648223,-2.169411331314856,-2.048176964684088,-1.904830648568245,-1.7276941555979135,-1.4924139602369892,-1.123608938180813,1.1164051587992214,1.7446310534426055,1.869165044541257,1.3732561737524795,-0.9313689362856834,-1.3971806575673014,-1.6585654754218595,-1.848323769152952,-1.9982662871909995,-2.1214782044987937,-2.2269453066357445,-2.318758762624413,-2.401209493236885,-2.473660722610169,-2.542118103266008,-2.605548319173784,-2.6655462488490693,-2.723538195826756,-2.774690718274137,-2.8239087409443187,-2.8728952016351923,-2.913640169325252,-2.954677021213381,-2.9913998282380825,-3.022276394711198,-3.050609993355087,-3.070581074285707,-3.0861861476162837,-3.096910013008111,-3.10790539730952,-3.113509274827518,-3.10790539730952,-3.096910013008056,-3.0915149811213505,-3.0809219076239263,-3.070581074285707,-3.0555173278498806,-3.0409586076789066,-3.026872146400301,-3.0087739243075053,-2.987162775294828,-2.970616222314831,-2.9430951486635277,-2.910094888560602,-2.8664610916298146,-2.7931741239681505,-1.9318141382538383,-0.5780507489371215,-0.3509086481526078,-0.2415574596998274,-0.1674910872937637,-0.1109841853584309,-0.0650624264154697,-0.0262581002125975,0.0074106209919445,0.0371674377423006,0.0638360537358638,0.0879552427375376,Mn,Cu,Ru,Sn,",Mn,Cu,Ru,Sn,",Sn
22,24,44,50,-2.638272163982407,-2.6345120151091,-2.6345120151091,-2.642065152999546,-2.6497519816658373,-2.6655462488490693,-2.6819366650372385,-2.703334809738469,-2.7304870557820835,-2.7594507517174254,-2.795880017344075,-2.835647144215563,-2.87942606879415,-2.9355420107730814,-2.991399828238125,-3.0555173278498318,-3.130768280269024,-3.207608310501746,-3.3010299956639813,-3.3767507096021,-3.4436974992327127,-3.494850021680094,-3.494850021680094,-3.4436974992327127,-3.3767507096021,-3.3010299956639813,-3.193820026016113,-3.096910013008056,-2.991399828238125,-2.899629454882437,-2.812479279163537,-2.72584215073632,-2.642065152999546,-2.562249437179612,-2.4814860601221125,-2.39577394691553,-2.306273051076353,-2.209011524911184,-2.100179497572904,-1.9722427953094464,-1.819300798703965,-1.625618301949118,-1.359518563029578,-0.9080518091214406,1.496159129578526,1.932556962659648,1.6910216951206023,-0.7171513971653553,-1.283495836226783,-1.5728385970740362,-1.778325002929234,-1.9377941911802876,-2.0685421293109947,-2.1778319206319825,-2.274088367704952,-2.3585258894959105,-2.436518914605589,-2.508638306165728,-2.575118363368933,-2.642065152999546,-2.703334809738469,-2.7644715530924517,-2.8239087409443187,-2.87942606879415,-2.9355420107730814,-2.991399828238125,-3.036212172654492,-3.0757207139381184,-3.10790539730952,-3.1426675035687315,-3.154901959985743,-3.167491087293828,-3.167491087293828,-3.167491087293828,-3.154901959985743,-3.130768280269024,-3.119186407719266,-3.096910013008056,-3.0757207139381184,-3.0555173278498318,-3.0457574905606752,-3.017728766960477,-3.0,-2.98296666070122,-2.96657624451305,-2.9507819773298185,-2.9355420107730814,-2.913640169325252,-2.892790030352132,-2.8601209135987635,-2.818156412055256,-2.744727494896694,-1.710857164067669,-0.5065698339758895,-0.2923787334388668,-0.1852464662510113,-0.1119666064172551,-0.0557641562065199,-0.0099454391310053,0.0288720641431183,Ti,Cr,Ru,Sn,",Ti,Cr,Ru,Sn,",Sn
22,26,50,77,-2.6478174818886373,-2.6345120151091,-2.6252516539899142,-2.6252516539899142,-2.6289321377282824,-2.636388020107856,-2.65169513695184,-2.6716203965612624,-2.696803942579511,-2.72584215073632,-2.7619538968712045,-2.8041003475907664,-2.853871964321762,-2.910094888560602,-2.9788107009300617,-3.0555173278498318,-3.1426675035687315,-3.2441251443275085,-3.3467874862246565,-3.4685210829578725,-3.5686362358410126,-3.638272163982407,-3.677780705266081,-3.619788758288575,-3.5086383061658672,-3.3872161432802645,-3.2518119729938,-3.1249387366083,-3.0087739243075053,-2.9030899869919784,-2.804100347590794,-2.712198270069774,-2.623423042943488,-2.5361070110140926,-2.449771646944906,-2.360513510731424,-2.2668027348934308,-2.1636758842932484,-2.0467236633327004,-1.909741947068684,-1.7420815496859414,-1.5240384108075762,-1.2071882287518532,0.2030737022472865,1.792116245457794,1.94320728205011,1.1753302878847398,-1.0376306643299789,-1.421819390372222,-1.6665527255032495,-1.8489367466462496,-1.993533957750768,-2.114073660198569,-2.2168113089247425,-2.30715308072277,-2.39040559077478,-2.4647058799572297,-2.5361070110140926,-2.603800652904264,-2.669586226650809,-2.7328282715969863,-2.7958800173441025,-2.856985199745905,-2.91721462968355,-2.9706162223147903,-3.026872146400301,-3.0757207139381184,-3.1191864077192086,-3.1487416512809245,-3.1739251972991736,-3.1870866433571443,-3.193820026016181,-3.1870866433571443,-3.1739251972991736,-3.154901959985743,-3.130768280269024,-3.113509274827518,-3.0861861476162837,-3.0604807473813813,-3.036212172654445,-3.0132282657337552,-2.9913998282380825,-2.9706162223147903,-2.9507819773298185,-2.9318141382538383,-2.910094888560602,-2.889410289700751,-2.8664610916297826,-2.835647144215563,-2.7958800173441025,-2.72584215073632,-1.9892761346082268,-0.5313720937384346,-0.2926598053929565,-0.1810091549310163,-0.1057171754100382,-0.048337125138979,-0.0017188601916977,0.0377013313213552,0.0719408907014977,Ti,Fe,Sn,Ir,",Ti,Fe,Sn,Ir,",Sn
23,45,50,78,-3.0555173278498318,-2.98296666070122,-2.9355420107730814,-2.906578314837765,-2.892790030352132,-2.886056647693163,-2.892790030352132,-2.906578314837765,-2.920818753952376,-2.9507819773298185,-2.98296666070122,-3.026872146400301,-3.0757207139381184,-3.130768280269024,-3.1804560644581312,-3.2518119729938,-3.3187587626245034,-3.3767507096021,-3.4436974992327127,-3.4685210829578725,-3.494850021680094,-3.4685210829578725,-3.397940008672037,-3.3372421683185203,-3.2518119729938,-3.154901959985743,-3.065501548756432,-2.98296666070122,-2.899629454882437,-2.818156412055256,-2.7399286120149253,-2.661543506395395,-2.585026652029182,-2.505845405981557,-2.424812155072339,-2.337242168318426,-2.241088107602034,-2.135488918941608,-2.0114410431213843,-1.8645493006544864,-1.680685695909488,-1.4348608480302116,-1.0495377810944022,1.222694885915372,1.8760908833038652,1.8484759646087243,0.5850296052216182,-1.1849538239353694,-1.5120136688706065,-1.7347103741391698,-1.9051796196452,-2.042871802323192,-2.157390760389444,-2.25649023527157,-2.342944147142896,-2.42021640338319,-2.489454989793388,-2.552841968657781,-2.6126101736612704,-2.6655462488490693,-2.721246399047171,-2.769551078621726,-2.812479279163537,-2.8601209135987635,-2.899629454882437,-2.9355420107730814,-2.9746941347352296,-3.0,-3.026872146400301,-3.0457574905606752,-3.065501548756432,-3.0757207139381184,-3.0861861476162837,-3.096910013008056,-3.096910013008056,-3.0861861476162837,-3.0861861476162837,-3.0757207139381184,-3.065501548756432,-3.0555173278498318,-3.0457574905606752,-3.026872146400301,-3.0087739243075053,-2.991399828238125,-2.9746941347352296,-2.958607314841775,-2.9281179926938745,-2.899629454882437,-2.8664610916298146,-2.812479279163537,-2.707743928643524,-1.0623818206061766,-0.4122441489821955,-0.2501400594708376,-0.15598283591522,-0.0884162990189242,-0.0352031390203528,0.0089576788525267,0.04689298779612,0.0802439662269993,V,Rh,Sn,Pt,",V,Rh,Sn,Pt,",Sn
13,24,45,50,-3.154901959985743,-3.096910013008056,-3.0555173278498318,-3.036212172654492,-3.026872146400301,-3.026872146400301,-3.036212172654492,-3.0457574905606752,-3.0757207139381184,-3.096910013008056,-3.130768280269024,-3.167491087293828,-3.207608310501746,-3.2365720064370627,-3.283996656365201,-3.3187587626245034,-3.3372421683185203,-3.356547323513813,-3.356547323513813,-3.356547323513813,-3.3187587626245034,-3.2676062401770314,-3.207608310501746,-3.154901959985743,-3.0861861476162837,-3.017728766960477,-2.9507819773298185,-2.87942606879415,-2.818156412055256,-2.749579997691106,-2.6819366650372385,-2.616184634019569,-2.5466816599529776,-2.471083299722358,-2.3914739664228057,-2.3045183235098023,-2.207608310501746,-2.094743951251549,-1.9625735020593764,-1.802443786846464,-1.5975666537806898,-1.3114022249188302,-0.7680209731684957,1.6268603879341823,1.934434413336116,1.5764105783705442,-0.8190144192132696,-1.3267947182209547,-1.6066003047068982,-1.80799040734633,-1.9657727392294493,-2.094743951251549,-2.2034256667895704,-2.2975694635544746,-2.378823718224965,-2.4509967379742243,-2.5171264163912603,-2.575118363368933,-2.6270879970298933,-2.677780705266081,-2.721246399047171,-2.7644715530924517,-2.8068754016455384,-2.8416375079047502,-2.87942606879415,-2.906578314837765,-2.9355420107730814,-2.96657624451305,-2.991399828238125,-3.017728766960477,-3.036212172654492,-3.0555173278498318,-3.065501548756432,-3.0757207139381184,-3.0861861476162837,-3.096910013008056,-3.096910013008056,-3.10790539730952,-3.096910013008056,-3.096910013008056,-3.0861861476162837,-3.0861861476162837,-3.065501548756432,-3.0555173278498318,-3.026872146400301,-3.0,-2.96657624451305,-2.920818753952376,-2.8416375079047502,-2.642065152999546,-0.6567884098202526,-0.3173315576098621,-0.1929523044848858,-0.1128555053368187,-0.0532236089577739,-0.005489284016005,0.0344118568958504,0.068749707201437,0.0988720596931364,0.1256959200286563,Al,Cr,Rh,Sn,",Al,Cr,Rh,Sn,",Sn
23,27,44,50,-3.1804560644581312,-3.1023729087096137,-3.0555173278498318,-3.026872146400301,-3.0,-2.9956786262173574,-2.9913998282380825,-2.9956786262173574,-3.0087739243075053,-3.026872146400301,-3.050609993355087,-3.0757207139381184,-3.10790539730952,-3.1426675035687315,-3.1804560644581312,-3.2218487496163566,-3.259637310505835,-3.283996656365201,-3.309803919971486,-3.309803919971486,-3.309803919971486,-3.283996656365201,-3.2518119729938,-3.193820026016181,-3.142667503568792,-3.0757207139381184,-3.0087739243075053,-2.939302159646388,-2.869666231504994,-2.7986028756795487,-2.72584215073632,-2.6536470255493807,-2.5816987086802548,-2.503070351926785,-2.421360790031928,-2.332547047110046,-2.235823867609677,-2.1249387366083,-1.996970529446382,-1.8428455600937184,-1.6478174818886375,-1.3788237182249647,-0.8904889477700678,1.4908395261964658,1.8228879272973717,1.7903803182986548,0.8473338549129223,-1.184621515034082,-1.5215778122599195,-1.7464197104378172,-1.91721462968355,-2.05453141486818,-2.169411331314856,-2.2692177243336107,-2.3555614105321614,-2.431798275933005,-2.5016894462104,-2.5654310959658013,-2.623423042943488,-2.677780705266081,-2.7304870557820835,-2.7772835288524167,-2.8210230527068307,-2.8632794328435933,-2.9030899869919784,-2.939302159646388,-2.970616222314831,-3.0,-3.026872146400301,-3.0457574905606752,-3.0604807473813813,-3.0757207139381184,-3.0861861476162837,-3.0915149811213505,-3.096910013008056,-3.0915149811213505,-3.0915149811213505,-3.0861861476162837,-3.0757207139381184,-3.065501548756432,-3.0555173278498806,-3.036212172654445,-3.026872146400301,-3.0043648054024503,-2.987162775294828,-2.962573502059376,-2.9244530386074694,-2.882728704344236,-2.804100347590794,-2.0141246426916064,-0.5758536942448442,-0.3442662597102059,-0.23381030668984,-0.1591226511621927,-0.1021585630716078,-0.0558678659633789,-0.0167391610141935,0.0172295626617386,0.0472631821736538,0.0741835475145208,V,Co,Ru,Sn,",V,Co,Ru,Sn,",Sn
