element1,element2,element3,element4,M,TC,R,heakey
Al,Si,Sc,Ti,0.0,0.0,157.48678999999998,13142122
Al,Si,Sc,V,0.0,0.0,163.6277,13142123
Al,Si,Sc,Cr,0.0,0.0,164.27588,13142124
Al,Si,Sc,Mn,0.0,0.0,159.16681,13142125
Al,Si,Sc,Fe,0.6171,403.142,127.54948,13142126
Al,Si,Sc,Co,0.3429999999999999,229.036,128.15167,13142127
Al,Si,Sc,Ni,0.0,0.0,116.96904,13142128
Al,Si,Sc,Cu,0.0,0.0,104.18545,13142129
Al,Si,Sc,Zn,0.0,0.0,87.23061,13142130
Al,Si,Sc,Ga,0.0,0.0,74.23603,13142131
Al,Si,Sc,Ge,0.0,0.0,71.84387,13142132
Al,Si,Sc,Y,0.0,0.0,145.92616999999998,13142139
Al,Si,Sc,Zr,0.0,0.0,150.64372,13142140
Al,Si,Sc,Nb,0.0,0.0,154.01837,13142141
Al,Si,Sc,Mo,0.0,0.0,154.76325,13142142
Al,Si,Sc,Tc,0.0,0.0,151.30203,13142143
Al,Si,Sc,Ru,0.0,0.0,143.85185,13142144
Al,Si,Sc,Rh,0.0,0.0,130.3841,13142145
Al,Si,Sc,Pd,0.0,0.0,118.19249,13142146
Al,Si,Sc,Ag,0.0,0.0,105.11664,13142147
Al,Si,Sc,Cd,0.0,0.0,88.34924000000001,13142148
Al,Si,Sc,In,0.0,0.0,75.11414,13142149
Al,Si,Sc,Sn,0.0,0.0,70.61681,13142150
Al,Si,Sc,Hf,0.0,0.0,149.03108,13142172
Al,Si,Sc,Ta,0.0,0.0,154.14768999999998,13142173
Al,Si,Sc,W,0.0,0.0,153.87855,13142174
Al,Si,Sc,Re,0.0,0.0,150.48273,13142175
Al,Si,Sc,Os,0.0,0.0,143.03553,13142176
Al,Si,Sc,Ir,0.0,0.0,128.60986,13142177
Al,Si,Sc,Pt,0.0,0.0,112.33505,13142178
Al,Si,Sc,Au,0.0,0.0,98.62098,13142179
Al,Si,Sc,Hg,0.0,0.0,86.9441,13142180
Al,Si,Sc,Tl,0.0,0.0,77.77449,13142181
Al,Si,Sc,Pb,0.0,0.0,74.69202,13142182
Al,Si,Sc,Bi,0.0,0.0,77.9859,13142183
Al,Si,Ti,V,0.0,0.0,162.64844,13142223
Al,Si,Ti,Cr,0.0,0.0,164.18903,13142224
Al,Si,Ti,Mn,0.0,0.0,159.78845,13142225
Al,Si,Ti,Fe,0.0,0.0,150.42935,13142226
Al,Si,Ti,Co,0.0,0.0,139.41803000000002,13142227
Al,Si,Ti,Ni,0.0,0.0,133.43044,13142228
Al,Si,Ti,Cu,0.0,0.0,125.02265,13142229
Al,Si,Ti,Zn,0.0,0.0,107.80617,13142230
Al,Si,Ti,Ga,0.0,0.0,90.41013,13142231
Al,Si,Ti,Ge,0.0,0.0,83.03291,13142232
Al,Si,Ti,Y,0.0,0.0,151.63401000000002,13142239
Al,Si,Ti,Zr,0.0,0.0,149.16167,13142240
Al,Si,Ti,Nb,0.0,0.0,152.52155,13142241
Al,Si,Ti,Mo,0.0,0.0,154.58092,13142242
Al,Si,Ti,Tc,0.0,0.0,151.79777,13142243
Al,Si,Ti,Ru,0.0,0.0,144.92226000000002,13142244
Al,Si,Ti,Rh,0.0,0.0,137.26641999999998,13142245
Al,Si,Ti,Pd,0.0,0.0,133.9945,13142246
Al,Si,Ti,Ag,0.0,0.0,126.24137,13142247
Al,Si,Ti,Cd,0.0,0.0,110.77118,13142248
Al,Si,Ti,In,0.0,0.0,93.91432,13142249
Al,Si,Ti,Sn,0.0,0.0,84.20978000000001,13142250
Al,Si,Ti,Hf,0.0,0.0,151.26127,13142272
Al,Si,Ti,Ta,0.0,0.0,154.24192,13142273
Al,Si,Ti,W,0.0,0.0,154.09073999999998,13142274
Al,Si,Ti,Re,0.0,0.0,150.55482,13142275
Al,Si,Ti,Os,0.0,0.0,143.76588,13142276
Al,Si,Ti,Ir,0.0,0.0,134.11283,13142277
Al,Si,Ti,Pt,0.0,0.0,127.5199,13142278
Al,Si,Ti,Au,0.0,0.0,118.95814,13142279
Al,Si,Ti,Hg,0.0,0.0,107.50677,13142280
Al,Si,Ti,Tl,0.0,0.0,93.39334,13142281
Al,Si,Ti,Pb,0.0,0.0,87.14639,13142282
Al,Si,Ti,Bi,0.0,0.0,85.84244,13142283
Al,Si,V,Cr,0.0,0.0,163.00499,13142324
Al,Si,V,Mn,0.0,0.0,157.22746,13142325
Al,Si,V,Fe,0.5241,435.474,150.65201000000002,13142326
Al,Si,V,Co,0.0,0.0,141.57758,13142327
Al,Si,V,Ni,0.0,0.0,142.24729,13142328
Al,Si,Y,Ir,0.0,0.0,127.60361,13143977
Al,Si,Y,Pt,0.0,0.0,115.13687,13143978
Al,Si,Y,Au,0.0,0.0,104.30471,13143979
Al,Si,Y,Hg,0.0,0.0,95.31782,13143980
Al,Si,Y,Tl,0.0,0.0,88.16769000000001,13143981
Al,Si,Y,Pb,0.0,0.0,84.46429,13143982
Al,Si,Y,Bi,0.0,0.0,87.27255,13143983
Al,Si,Zr,Nb,0.0,0.0,143.9823,13144041
Al,Si,Zr,Mo,0.0,0.0,145.22104,13144042
Al,Si,Zr,Tc,0.0,0.0,142.78321,13144043
Al,Si,Zr,Ru,0.0,0.0,136.96015,13144044
Al,Si,Zr,Rh,0.0,0.0,130.97329,13144045
Al,Si,Zr,Pd,0.0,0.0,128.12096,13144046
Al,Si,Zr,Ag,0.0,0.0,122.20325,13144047
Al,Si,Zr,Cd,0.0,0.0,110.6648,13144048
Al,Si,Zr,In,0.0,0.0,94.98319,13144049
Al,Si,Zr,Sn,0.0,0.0,85.6262,13144050
Al,Si,Zr,Hf,0.0,0.0,144.82091,13144072
Al,Si,Zr,Ta,0.0,0.0,146.22002,13144073
Al,Si,Zr,W,0.0,0.0,145.82537,13144074
Al,Si,Zr,Re,0.0,0.0,142.72603,13144075
Al,Si,Zr,Os,0.0,0.0,136.63349,13144076
