,key,key,a0.25_rp1.0,a0.25_rp1.5,a0.25_rp2.0,a0.25_rp2.5,a0.25_rp3.0,a0.5_rp1.0,a0.5_rp1.5,a0.5_rp2.0,a0.5_rp2.5,a0.5_rp3.0,a1.0_rp1.0,a1.0_rp1.5,a1.0_rp2.0,a1.0_rp2.5,a1.0_rp3.0,total_spin_moment,polytype,minus_energy
0,0,3D-001,0.01190724690816767,0.983730643360902,0.20105641867253501,0.9611246406653134,0.433447436575815,0.22015524914826012,0.93349409100732,0.7004656242982615,0.8809233762849465,0.9268306296432772,0.85905826029702,0.8782358952169615,0.8960159009384502,0.8872490031318384,0.8944062355211719,0.03107146194014098,diamond,-0.0
1,1,3D-000,0.2468318460113509,0.7139441446931117,0.04613204283025859,0.5809712366891375,0.2809637047795127,0.7699383704115053,0.6080834752124953,0.33536393437881606,0.49251343357951505,0.46673450451574516,0.6568586458272598,0.5400557823260441,0.49737509429912186,0.46886505589965244,0.4599762852397596,0.03107146194014098,graphite,-0.01017961194386885
2,2,3D-003,0.012001375233815198,0.9793211535616481,0.2044566026004601,1.0000000000000002,0.5240077522439368,0.21601682209586515,0.9312067976833815,0.7077863528598962,0.9258179553325945,1.0,0.8609294879451279,0.8864085501214019,0.9133768790311555,0.9170547221337345,0.938843836198507,0.03107146194014098,hexdiamond,-0.012333127458887816
3,3,2D-000,0.24820647546078742,0.7138146752454172,0.04621437104701019,0.5828128773060048,0.2819412495144555,0.7743986715179272,0.6087716988276923,0.3355829048847542,0.49432170192321534,0.46724404899014205,0.6601468505004484,0.5414565042304906,0.4983705553885759,0.46988815786295635,0.4610944943989764,0.03107146194014098,graphene4,-0.014380335108583608
4,4,2D-001,0.24813474027385976,0.7138382500267592,0.04620793964578345,0.582752944426386,0.2819069675177078,0.7742379395765155,0.6087557237893055,0.33557454165099143,0.4942611169548119,0.4672282619144107,0.6600358252334755,0.5414109446365205,0.4983382568427782,0.4698543437062008,0.4610573440973212,0.03107146194014098,graphene4,-0.014408165010095786
5,5,3D-002,0.24516260234457263,0.7147995641285835,0.045930416884441716,0.58024870590336,0.28047791419721807,0.7675100736327867,0.6080731414397531,0.3352133145493382,0.49170343849391573,0.46655450083845607,0.6553700727947183,0.5394879631748639,0.49696985146152584,0.4684216228657606,0.4594846387796813,0.03107146194014098,graphite,-0.015156388421701195
6,6,2D-002,0.2479198249422704,0.7139087644491825,0.04618673600065531,0.5825756860536175,0.28180409628234854,0.7737558702251275,0.6087074315633996,0.3355477862923516,0.4940776868751705,0.4671802756001492,0.6597015880694541,0.5412729938272633,0.4982398550635757,0.46975131540576043,0.46094443066844265,0.03107146194014098,graphene4,-0.015375902666107777
7,7,2D-003,0.24500764229317343,0.7145068072713362,0.04596313802302306,0.5793938274294765,0.28005441183574176,0.7657111666812373,0.6076355518893548,0.33513717128912457,0.49090179635234843,0.46631267074017346,0.6539107331484968,0.5388371832671202,0.4965086990580606,0.46796078900521554,0.45898550138428734,0.03107146194014098,graphene2,-0.018726811486331485
8,8,2D-004,0.23919741704477362,0.7167177021535428,0.0454106918234565,0.5751291462902256,0.2776306791619519,0.7539598595140475,0.6066951660517739,0.3345132758346966,0.4865583528822016,0.46518731024858384,0.6459843419429205,0.5356286910223795,0.49422988223969944,0.46555009639866385,0.4563251160189605,0.18006152696216682,graphene,-0.03617044045832074
9,9,3D-004,0.012001590935585324,0.9703308721399843,0.29941534499674616,0.8067976624487677,0.6881650558396759,0.2071203491687319,0.9343959899721983,0.72096492573952,0.8255179204453834,0.9034603345402017,0.8597879296276933,0.880667792989428,0.8925966473196819,0.8722416414853814,0.8685173383581537,0.03107146194014098,sp3+4ring,-0.060919064809183965
10,10,3D-006,0.023600179902673123,0.926994375915387,0.35537884040388323,0.8687614829698189,0.5940247897469005,0.21782289040751324,0.9176202073830142,0.7782947891807114,0.908971043768225,0.8395538455711822,0.8824844629700364,0.9135938705322302,0.9397733746229499,0.9236271894830365,0.9067757350997196,0.03107146194014098,,-0.0783771983484911
11,11,3D-005,0.17287833427225088,0.7963643939844843,0.09351696505364844,0.6639395561486038,0.3428503677121306,0.6002426689795741,0.6927530996049063,0.43807640708533657,0.5932987505601311,0.5784627977131759,0.6983570630286571,0.6278681456699513,0.6040501930790628,0.5801845377904304,0.5730584986729867,0.03107146194014098,crossedgraphene,-0.08463297106310108
12,12,3D-007,0.013769840869308547,0.9631016369072768,0.3654165129107358,0.640362838632664,0.7917381395878381,0.20763445293399174,0.9363753387119704,0.7227141911456626,0.7302712315770271,0.8164057281125442,0.8573817424472856,0.8703211412642462,0.8669106573930191,0.8249876399330304,0.7995146213904589,0.03107146194014098,,-0.09006416502190007
13,13,3D-009,0.023002180014014016,0.9051955391405516,0.35042595053780795,0.8189071480527721,0.7479111253875003,0.19656971990310956,0.9004384993175409,0.7673712723542311,0.8789380503342223,0.8504227150196509,0.8481452966392293,0.8917202464650675,0.9203182733441703,0.905365356092244,0.8920822218833162,0.03107146194014098,,-0.09473015461220768
14,14,3D-008,0.01277780226824616,0.9654168446755652,0.37393858530597557,0.6289359698508847,0.82972874768606,0.20578870310748165,0.9386547856185814,0.7292750528427833,0.72552603531062,0.79651000896145,0.8613304074342434,0.8740081322290982,0.869381222637739,0.8242320274046006,0.7940064569688512,0.03107146194014098,,-0.09496417342393215
